# r[nm],d[nm],daligned[nm],Ucline3(d)[kj/mol]
0.9959091,0.9959091,1.0598734,-1.0281583
1.0059091,1.0059091,1.0698734,-0.9894576
1.0159091,1.0159091,1.0798734,-0.9525795
1.0259091,1.0259091,1.0898734,-0.9174188
1.0359091,1.0359091,1.0998734,-0.8838774
1.0459091,1.0459091,1.1098734,-0.8518641
1.0559091,1.0559091,1.1198734,-0.8212937
1.0659091,1.0659091,1.1298734,-0.7920868
1.0759091,1.0759091,1.1398734,-0.7641692
1.0859091,1.0859091,1.1498734,-0.7374717
1.0959091,1.0959091,1.1598734,-0.7119293
1.1059091,1.1059091,1.1698734,-0.6874813
1.1159091,1.1159091,1.1798734,-0.6640708
1.1259091,1.1259091,1.1898734,-0.6416443
1.1359091,1.1359091,1.1998734,-0.6201516
1.1459091,1.1459091,1.2098734,-0.5995459
1.1559091,1.1559091,1.2198734,-0.5797826
1.1659091,1.1659091,1.2298734,-0.5608203
1.1759091,1.1759091,1.2398734,-0.5426197
1.1859091,1.1859091,1.2498734,-0.5251439
1.1959091,1.1959091,1.2598734,-0.5083582
1.2059091,1.2059091,1.2698734,-0.4922296
1.2159091,1.2159091,1.2798734,-0.4767273
1.2259091,1.2259091,1.2898734,-0.4618220
1.2359091,1.2359091,1.2998734,-0.4474861
1.2459091,1.2459091,1.3098734,-0.4336934
1.2559091,1.2559091,1.3198734,-0.4204194
1.2659091,1.2659091,1.3298734,-0.4076405
1.2759091,1.2759091,1.3398734,-0.3953347
1.2859091,1.2859091,1.3498734,-0.3834810
1.2959091,1.2959091,1.3598734,-0.3720595
1.3059091,1.3059091,1.3698734,-0.3610515
1.3159091,1.3159091,1.3798734,-0.3504390
1.3259091,1.3259091,1.3898734,-0.3402050
1.3359091,1.3359091,1.3998734,-0.3303335
1.3459091,1.3459091,1.4098734,-0.3208092
1.3559091,1.3559091,1.4198734,-0.3116174
1.3659091,1.3659091,1.4298734,-0.3027445
1.3759091,1.3759091,1.4398734,-0.2941771
1.3859091,1.3859091,1.4498734,-0.2859029
1.3959091,1.3959091,1.4598734,-0.2779098
1.4059091,1.4059091,1.4698734,-0.2701866
1.4159091,1.4159091,1.4798734,-0.2627224
1.4259091,1.4259091,1.4898734,-0.2555069
1.4359091,1.4359091,1.4998734,-0.2485303
1.4459091,1.4459091,1.5098734,-0.2417833
1.4559091,1.4559091,1.5198734,-0.2352568
1.4659091,1.4659091,1.5298734,-0.2289423
1.4759091,1.4759091,1.5398734,-0.2228317
1.4859091,1.4859091,1.5498734,-0.2169172
1.4959091,1.4959091,1.5598734,-0.2111914
1.5059091,1.5059091,1.5698734,-0.2056471
1.5159091,1.5159091,1.5798734,-0.2002776
1.5259091,1.5259091,1.5898734,-0.1950763
1.5359091,1.5359091,1.5998734,-0.1900371
1.5459091,1.5459091,1.6098734,-0.1851539
1.5559091,1.5559091,1.6198734,-0.1804212
1.5659091,1.5659091,1.6298734,-0.1758333
1.5759091,1.5759091,1.6398734,-0.1713852
1.5859091,1.5859091,1.6498734,-0.1670718
1.5959091,1.5959091,1.6598734,-0.1628882
