# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
-1.2220007,-1.2220007,-0.9541280,5421.2904426,4646.4263775,21269.8279156,284.5749124,15907.7259363,6107.6239739,4734.9569112,6390.8275344,4041.9142284,5421.2904426,4646.4263775,21269.8279156,268.9338130,15907.7259363,6107.6239739,4734.9569112,6390.8275344,4041.9142284
-1.2170007,-1.2170007,-0.9491280,4601.7409237,3963.9740389,17901.5248789,237.8332538,13539.0370001,5287.7370825,3915.7447650,5424.7107608,3430.8883304,4601.7409237,3963.9740389,17901.5248789,222.1921544,13539.0370001,5287.7370825,3915.7447650,5424.7107608,3430.8883304
-1.2120007,-1.2120007,-0.9441280,3958.0933216,3431.1943221,15255.6355759,201.2235339,11678.3554956,4643.8037227,3272.3829205,4665.9539922,2951.0084146,3958.0933216,3431.1943221,15255.6355759,185.5824346,11678.3554956,4643.8037227,3272.3829205,4665.9539922,2951.0084146
-1.2070007,-1.2070007,-0.9391280,3459.8517050,3021.0185534,13207.0440390,172.9608687,10237.7064144,4145.3265823,2774.3768278,4078.6074415,2579.5378393,3459.8517050,3021.0185534,13207.0440390,157.3197693,10237.7064144,4145.3265823,2774.3768278,4078.6074415,2579.5378393
-1.2020007,-1.2020007,-0.9341280,3082.6313642,2711.9923738,11655.7197067,151.6183991,9146.7525066,3767.9196197,2397.3431087,3633.9254665,2298.2962643,3082.6313642,2711.9923738,11655.7197067,135.9773000,9146.7525066,3767.9196197,2397.3431087,3633.9254665,2298.2962643
-1.1970007,-1.1970007,-0.9291280,2807.4733993,2487.5609033,10523.8980369,136.0870296,8350.8123739,3492.6227373,2122.3240614,3309.5585807,2093.1486329,2807.4733993,2487.5609033,10523.8980369,120.4459326,8350.8123739,3492.6227373,2122.3240614,3309.5585807,2093.1486329
-1.1920007,-1.1920007,-0.9241280,2620.2605189,2335.4731558,9753.6785400,125.5410854,7809.1719337,3305.3176474,1935.2033903,3088.8647728,1953.5696133,2620.2605189,2335.4731558,9753.6785400,109.8999963,7809.1719337,3305.3176474,1935.2033903,3088.8647728,1953.5696133
-1.1870007,-1.1870007,-0.9191280,2511.2526305,2247.3163150,9305.1159905,119.4110032,7493.7425474,3175.2663857,1841.8825515,2960.3620442,1872.2973517,2511.2526305,2247.3163150,9305.1159905,103.7699276,7493.7425474,3175.2663857,1826.2417456,2960.3620442,1872.2973517
-1.1820007,-1.1820007,-0.9141280,2474.7514135,2218.1832780,9154.8421059,117.3636010,7388.0920479,3129.1300373,1805.3823573,2917.3329933,1845.0833904,2474.7514135,2218.1832780,9154.8421059,101.7225330,7388.0920479,3129.1300373,1789.7412580,2917.3329933,1845.0833904
-1.1770007,-1.1770007,-0.9091280,2508.8977435,2246.4734586,9295.2332661,119.2901413,7486.8596318,3172.9980000,1839.4842264,2957.5860120,1870.5416348,2508.8977435,2246.4734586,9295.2332661,103.6490659,7486.8596318,3172.9980000,1823.8429418,2957.5860120,1870.5416348
-1.1720007,-1.1720007,-0.9041280,2615.6032737,2333.8259401,9734.1294382,125.3022896,7795.5582574,3300.7482776,1930.4582698,3083.3746315,1950.0973430,2615.6032737,2333.8259401,9734.1294382,109.6612007,7795.5582574,3300.7482776,1930.4582698,3083.3746315,1950.0973430
-1.1670007,-1.1670007,-0.8991280,2800.6164923,2485.1845608,10495.1055487,135.7360205,8330.7654233,3485.8977468,2115.3352377,3301.4753925,2088.0363759,2800.6164923,2485.1845608,10495.1055487,120.0949236,8330.7654233,3485.8977468,2115.3352377,3301.4753925,2088.0363759
-1.1620007,-1.1620007,-0.8941280,3073.7230942,2708.9954663,11618.2947115,151.1634293,9120.7019096,3759.1874287,2388.2587597,3623.4240522,2291.6545867,3073.7230942,2708.9954663,11618.2947115,135.5223302,9120.7019096,3759.1874287,2388.2587597,3623.4240522,2291.6545867
-1.1570007,-1.1570007,-0.8891280,3449.0795077,3017.5381482,13161.7587334,172.4123538,10206.1952538,4134.7747834,2763.3842319,4065.9087572,2571.5064862,3449.0795077,3017.5381482,13161.7587334,156.7712544,10206.1952538,4134.7747834,2763.3842319,4065.9087572,2571.5064862
-1.1520007,-1.1520007,-0.8841280,3945.6758179,3427.3900594,15203.3907979,200.5935995,11642.0173304,4631.6511261,3259.7005098,4651.3157570,2941.7503818,3945.6758179,3427.3900594,15203.3907979,184.9525002,11642.0173304,4631.6511261,3259.7005098,4651.3157570,2941.7503818
-1.1470007,-1.1470007,-0.8791280,4587.9189789,3960.0214615,17843.3133576,237.1352263,13498.5700201,5274.2247697,3901.6131881,5408.4169160,3420.5831981,4587.9189789,3960.0214615,17843.3133576,221.4941270,13498.5700201,5274.2247697,3901.6131881,5408.4169160,3420.5831981
-1.1420007,-1.1420007,-0.8741280,5406.3177641,4642.5099148,21206.6956204,283.8227851,15863.8657804,6093.0058915,4719.6296366,6373.1771600,4030.7511515,5406.3177641,4642.5099148,21206.6956204,268.1816857,15863.8657804,6093.0058915,4719.6296366,6373.1771600,4030.7511515
-1.1370007,-1.1370007,-0.8691280,6438.2359301,5430.3585683,25446.8535793,342.8435195,18845.7067316,7125.3595963,5751.1122638,7589.6423353,4800.1112811,6438.2359301,5430.3585683,25446.8535793,327.2024202,18845.7067316,7125.3595963,5751.1122638,7589.6423353,4800.1112811
-1.1320007,-1.1320007,-0.8641280,7728.6580201,6251.3847485,30748.4050040,416.6540131,22573.9022191,8416.2716030,7041.0444371,9110.8419668,5762.2024034,7728.6580201,6251.3847485,30748.4050040,401.1901550,22573.9022191,8416.2716030,7041.0444371,9110.8419668,5762.2024034
-1.1270007,-1.1270007,-0.8591280,7700.1021619,6227.7137278,30598.5988850,414.9642050,22465.3650779,8383.9980749,7016.2062489,9077.1792131,5740.9122086,7700.1021619,6227.7137278,30598.5988850,399.3231057,22465.3650779,8383.9980749,7016.2062489,9077.1792131,5740.9122086
-1.1220007,-1.1220007,-0.8541280,7628.0683607,6181.3341814,30289.5660127,411.1025795,22247.7552365,8311.2450972,6944.8916243,8992.2629732,5687.2064629,7628.0683607,6181.3341814,30289.5660127,395.4614802,22247.7552365,8311.2450972,6944.8916243,8992.2629732,5687.2064629
-1.1170007,-1.1170007,-0.8491280,7645.0584127,6191.7032072,30343.2121556,412.5165747,22285.2398876,8327.4888938,6962.6279316,9012.2915057,5699.8736191,7645.0584127,6191.7032072,30343.2121556,396.8754754,22285.2398876,8327.4888938,6962.6279316,9012.2915057,5699.8736191
-1.1120007,-1.1120007,-0.8441280,7761.8615037,6265.7217741,30803.4613466,419.8512085,22608.7276901,8443.5256667,7080.1973407,9149.9835217,5786.9576963,7761.8615037,6265.7217741,30803.4613466,404.2101092,22608.7276901,8443.5256667,7080.1973407,9149.9835217,5786.9576963
-1.1070007,-1.1070007,-0.8391280,7986.9287402,6408.8030669,31704.6555635,433.6156675,23242.3891970,8667.8135548,7306.0439257,9415.3015133,5954.7595279,7986.9287402,6408.8030669,31704.6555635,417.9745681,23242.3891970,8667.8135548,7306.0439257,9415.3015133,5954.7595279
-1.1020007,-1.1020007,-0.8341280,8326.1023660,6624.6986236,33070.4662415,454.1666177,24202.8904361,9006.2017982,7646.0029338,9815.1325442,6207.6348752,8326.1023660,6624.6986236,33070.4662415,438.5255203,24202.8904361,9006.2017982,7646.0029338,9815.1325442,6207.6348752
-1.0970007,-1.0970007,-0.8291280,8191.9580495,6515.4024034,32582.6877815,445.0475502,23843.0282529,8861.3777091,7522.5383900,9656.9980188,6107.6218199,8191.9580495,6515.4024034,32582.6877815,429.4064519,23843.0282529,8861.3777091,7522.5383900,9656.9980188,6107.6218199
-1.0920007,-1.0920007,-0.8241280,7563.8607135,6115.7452142,30022.4933785,408.2465409,22042.6286548,8233.7282635,6893.9931635,8916.5725072,5639.3356090,7563.8607135,6115.7452142,30022.4933785,392.6054415,22042.6286548,8233.7282635,6893.9931635,8916.5725072,5639.3356090
-1.0870007,-1.0870007,-0.8191280,7055.2896693,5792.2901325,27950.1254945,378.5009355,20585.3522079,7725.6030624,6384.9762762,8317.0492264,5260.1637934,7055.2896693,5792.2901325,27950.1254945,362.8598361,20585.3522079,7725.6030624,6384.9762762,8317.0492264,5260.1637934
-1.0820007,-1.0820007,-0.8141280,6658.0906452,5539.8221280,26332.3618874,355.3196223,19447.8232852,7328.8429525,5987.3383379,7848.8156044,4964.0268489,6658.0906452,5539.8221280,26332.3618874,339.6785230,19447.8232852,7328.8429525,5987.3383379,7848.8156044,4964.0268489
-1.0770007,-1.0770007,-0.8091280,6362.2576520,5351.9467984,25128.4068081,338.1037572,18601.3396563,7033.4369480,5691.0783561,7500.0761929,4743.4646789,6362.2576520,5351.9467984,25128.4068081,322.4626579,18601.3396563,7033.4369480,5691.0783561,7500.0761929,4743.4646789
-1.0720007,-1.0720007,-0.8041280,6156.4084513,5199.4344920,24291.8258719,326.1751408,18013.2337480,6827.9977582,5484.8191443,7257.4131676,4589.9911061,6156.4084513,5199.4344920,24291.8258719,310.5340419,18013.2337480,6827.9977582,5484.8191443,7257.4131676,4589.9911061
