# r[nm],ssd(r)[nm]
1.1608292,1.1108292
1.1658292,1.1158292
1.1708292,1.1208292
1.1758292,1.1258292
1.1808292,1.1308292
1.1858292,1.1358292
1.1908292,1.1408292
1.1958292,1.1458292
1.2008292,1.1508292
1.2058292,1.1558292
1.2108292,1.1608292
1.2158292,1.1658292
1.2208292,1.1708292
1.2258292,1.1758292
1.2308292,1.1808292
1.2358292,1.1858292
1.2408292,1.1908292
1.2458292,1.1958292
1.2508292,1.2008292
1.2558292,1.2058292
1.2608292,1.2108292
1.2658292,1.2158292
1.2708292,1.2208292
1.2758292,1.2258292
1.2808292,1.2308292
1.2858292,1.2358292
1.2908292,1.2408292
1.2958292,1.2458292
1.3008292,1.2508292
1.3058292,1.2558292
1.3108292,1.2608292
1.3158292,1.2658292
1.3208292,1.2708292
1.3258292,1.2758292
1.3308292,1.2808292
1.3358292,1.2858292
1.3408292,1.2908292
1.3458292,1.2958292
1.3508292,1.3008292
1.3558292,1.3058292
1.3608292,1.3108292
1.3658292,1.3158292
1.3708292,1.3208292
1.3758292,1.3258292
1.3808292,1.3308292
1.3858292,1.3358292
1.3908292,1.3408292
1.3958292,1.3458292
1.4008292,1.3508292
1.4058292,1.3558292
1.4108292,1.3608292
1.4158292,1.3658292
1.4208292,1.3708292
1.4258292,1.3758292
1.4308292,1.3808292
1.4358292,1.3858292
1.4408292,1.3908292
1.4458292,1.3958292
1.4508292,1.4008292
1.4558292,1.4058292
1.4608292,1.4108292
1.4658292,1.4158292
1.4708292,1.4208292
1.4758292,1.4258292
1.4808292,1.4308292
1.4858292,1.4358292
1.4908292,1.4408292
1.4958292,1.4458292
1.5008292,1.4508292
1.5058292,1.4558292
1.5108292,1.4608292
1.5158292,1.4658292
1.5208292,1.4708292
1.5258292,1.4758292
1.5308292,1.4808292
1.5358292,1.4858292
1.5408292,1.4908292
1.5458292,1.4958292
1.5508292,1.5008292
1.5558292,1.5058292
1.5608292,1.5108292
1.5658292,1.5158292
1.5708292,1.5208292
1.5758292,1.5258292
1.5808292,1.5308292
1.5858292,1.5358292
1.5908292,1.5408292
1.5958292,1.5458292
1.6008292,1.5508292
1.6058292,1.5558292
1.6108292,1.5608292
1.6158292,1.5658292
1.6208292,1.5708292
1.6258292,1.5758292
1.6308292,1.5808292
1.6358292,1.5858292
1.6408292,1.5908292
1.6458292,1.5958292
1.6508292,1.6008292
1.6558292,1.6058292
1.6608292,1.6108292
1.6658292,1.6158292
1.6708292,1.6208292
1.6758292,1.6258292
1.6808292,1.6308292
1.6858292,1.6358292
1.6908292,1.6408292
1.6958292,1.6458292
1.7008292,1.6508292
1.7058292,1.6558292
1.7108292,1.6608292
1.7158292,1.6658292
1.7208292,1.6708292
1.7258292,1.6758292
1.7308292,1.6808292
1.7358292,1.6858292
1.7408292,1.6908292
1.7458292,1.6958292
1.7508292,1.7008292
1.7558292,1.7058292
1.7608292,1.7108292
1.7658292,1.7158292
1.7708292,1.7208292
1.7758292,1.7258292
1.7808292,1.7308292
1.7858292,1.7358292
1.7908292,1.7408292
1.7958292,1.7458292
1.8008292,1.7508292
1.8058292,1.7558292
1.8108292,1.7608292
1.8158292,1.7658292
1.8208292,1.7708292
1.8258292,1.7758292
1.8308292,1.7808292
1.8358292,1.7858292
1.8408292,1.7908292
1.8458292,1.7958292
1.8508292,1.8008292
1.8558292,1.8058292
1.8608292,1.8108292
1.8658292,1.8158292
1.8708292,1.8208292
1.8758292,1.8258292
1.8808292,1.8308292
1.8858292,1.8358292
1.8908292,1.8408292
1.8958292,1.8458292
1.9008292,1.8508292
1.9058292,1.8558292
1.9108292,1.8608292
1.9158292,1.8658292
1.9208292,1.8708292
1.9258292,1.8758292
1.9308292,1.8808292
1.9358292,1.8858292
