# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
1.2266496,1.2266496,1.4172101,-0.0411304,-479.4211582,197.6473912,-0.0091963,-0.0721128,-235.7523314,102.6164045,-0.0484861,-0.0306652,-0.0423826,-489.3913619,189.1855995,-0.0094762,-0.0743102,-244.7204272,94.6010499,-0.0499622,-0.0315989
1.2316496,1.2316496,1.4222101,-0.0405473,-478.0622415,197.6902771,-0.0090658,-0.0710914,-235.0765778,102.6344534,-0.0477988,-0.0302306,-0.0417847,-488.0282684,189.2425582,-0.0093424,-0.0732627,-244.0385288,94.6294124,-0.0492574,-0.0311531
1.2366496,1.2366496,1.4272101,-0.0399743,-476.7087317,197.7317337,-0.0089375,-0.0700874,-234.4035573,102.6518168,-0.0471233,-0.0298033,-0.0411970,-486.6705335,189.2980800,-0.0092109,-0.0722329,-243.3593159,94.6570585,-0.0485646,-0.0307149
1.2416496,1.2416496,1.4322101,-0.0394110,-475.3606129,197.7717718,-0.0088114,-0.0691004,-233.7332614,102.6684995,-0.0464592,-0.0293833,-0.0406191,-485.3181423,189.3521728,-0.0090815,-0.0712204,-242.6827806,94.6839920,-0.0478834,-0.0302841
1.2466496,1.2466496,1.4372101,-0.0388572,-474.0178692,197.8104022,-0.0086874,-0.0681302,-233.0656818,102.6845061,-0.0458064,-0.0289705,-0.0400510,-483.9710795,189.4048445,-0.0089544,-0.0702250,-242.0089153,94.7102168,-0.0472137,-0.0298605
1.2516496,1.2516496,1.4422101,-0.0383128,-472.6804846,197.8476358,-0.0085656,-0.0671763,-232.4008100,102.6998413,-0.0451646,-0.0285646,-0.0394924,-482.6293298,189.4561029,-0.0088293,-0.0692462,-241.3377123,94.7357370,-0.0465552,-0.0294441
1.2566496,1.2566496,1.4472101,-0.0377776,-471.3484429,197.8834832,-0.0084457,-0.0662385,-231.7386375,102.7145098,-0.0445337,-0.0281655,-0.0389431,-481.2928778,189.5059561,-0.0087064,-0.0682838,-240.6691636,94.7605563,-0.0459077,-0.0290346
1.2616496,1.2616496,1.4522101,-0.0372513,-470.0217278,197.9179552,-0.0083279,-0.0653164,-231.0791556,102.7285162,-0.0439133,-0.0277732,-0.0384030,-479.9617079,189.5544117,-0.0085855,-0.0673374,-240.0032614,94.7846786,-0.0452710,-0.0286319
1.2666496,1.2666496,1.4572101,-0.0367339,-468.7003228,197.9510624,-0.0082121,-0.0644097,-230.4223559,102.7418650,-0.0433033,-0.0273874,-0.0378719,-478.6358044,189.6010588,-0.0084667,-0.0664067,-239.3399978,94.8079153,-0.0446448,-0.0282359
1.2716496,1.2716496,1.4622101,-0.0362250,-467.3842116,197.9828154,-0.0080982,-0.0635182,-229.7682295,102.7545610,-0.0427035,-0.0270080,-0.0373495,-477.3151515,189.6457180,-0.0083498,-0.0654914,-238.6793646,94.8301427,-0.0440291,-0.0278464
