# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
1.5858788,1.5858788,1.7573590,-0.0119429,-0.3011990,0.2622723
1.5908788,1.5908788,1.7623590,-0.0117826,-0.2997259,0.2613184
1.5958788,1.5958788,1.7673590,-0.0116248,-0.2982626,0.2603662
1.6008788,1.6008788,1.7723590,-0.0114695,-0.2968091,0.2594158
1.6058788,1.6058788,1.7773590,-0.0113166,-0.2953652,0.2584671
1.6108788,1.6108788,1.7823590,-0.0111661,-0.2939308,0.2575203
1.6158788,1.6158788,1.7873590,-0.0110180,-0.2925059,0.2565754
1.6208788,1.6208788,1.7923590,-0.0108722,-0.2910904,0.2556325
1.6258788,1.6258788,1.7973590,-0.0107286,-0.2896841,0.2546916
1.6308788,1.6308788,1.8023590,-0.0105873,-0.2882871,0.2537527
1.6358788,1.6358788,1.8073590,-0.0104481,-0.2868992,0.2528159
1.6408788,1.6408788,1.8123590,-0.0103111,-0.2855204,0.2518812
1.6458788,1.6458788,1.8173590,-0.0101762,-0.2841505,0.2509487
1.6508788,1.6508788,1.8223590,-0.0100434,-0.2827894,0.2500185
1.6558788,1.6558788,1.8273590,-0.0099126,-0.2814372,0.2490905
1.6608788,1.6608788,1.8323590,-0.0097838,-0.2800937,0.2481647
1.6658788,1.6658788,1.8373590,-0.0096570,-0.2787589,0.2472413
1.6708788,1.6708788,1.8423590,-0.0095321,-0.2774326,0.2463203
1.6758788,1.6758788,1.8473590,-0.0094091,-0.2761149,0.2454016
1.6808788,1.6808788,1.8523590,-0.0092880,-0.2748055,0.2444854
1.6858788,1.6858788,1.8573590,-0.0091687,-0.2735045,0.2435717
1.6908788,1.6908788,1.8623590,-0.0090512,-0.2722118,0.2426604
1.6958788,1.6958788,1.8673590,-0.0089354,-0.2709273,0.2417516
1.7008788,1.7008788,1.8723590,-0.0088214,-0.2696510,0.2408454
1.7058788,1.7058788,1.8773590,-0.0087091,-0.2683827,0.2399418
1.7108788,1.7108788,1.8823590,-0.0085985,-0.2671224,0.2390407
1.7158788,1.7158788,1.8873590,-0.0084895,-0.2658700,0.2381423
1.7208788,1.7208788,1.8923590,-0.0083821,-0.2646255,0.2372465
1.7258788,1.7258788,1.8973590,-0.0082764,-0.2633888,0.2363534
1.7308788,1.7308788,1.9023590,-0.0081722,-0.2621598,0.2354630
1.7358788,1.7358788,1.9073590,-0.0080695,-0.2609385,0.2345752
1.7408788,1.7408788,1.9123590,-0.0079684,-0.2597248,0.2336902
1.7458788,1.7458788,1.9173590,-0.0078687,-0.2585187,0.2328080
1.7508788,1.7508788,1.9223590,-0.0077705,-0.2573200,0.2319285
1.7558788,1.7558788,1.9273590,-0.0076737,-0.2561287,0.2310518
1.7608788,1.7608788,1.9323590,-0.0075783,-0.2549448,0.2301778
1.7658788,1.7658788,1.9373590,-0.0074844,-0.2537682,0.2293067
1.7708788,1.7708788,1.9423590,-0.0073918,-0.2525988,0.2284385
