# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
1.9550000,1.2050000,1.1792291,-0.0391033,-8.8909063,-11.3710733,-0.0098748,-0.0655687,-0.2758832,-0.8771212,-2.3015620
1.9600000,1.2100000,1.1842291,-0.0383954,-8.8415347,-11.2941717,-0.0096960,-0.0643816,-0.2708935,-0.8613132,-2.2604637
1.9650000,1.2150000,1.1892291,-0.0377028,-8.7923260,-11.2177359,-0.0095211,-0.0632204,-0.2660120,-0.8458461,-2.2202348
1.9700000,1.2200000,1.1942291,-0.0370253,-8.7432792,-11.1417643,-0.0093501,-0.0620843,-0.2612362,-0.8307112,-2.1808543
1.9750000,1.2250000,1.1992291,-0.0363624,-8.6943932,-11.0662551,-0.0091827,-0.0609728,-0.2565633,-0.8159003,-2.1423017
1.9800000,1.2300000,1.2042291,-0.0357138,-8.6456672,-10.9912068,-0.0090189,-0.0598852,-0.2519907,-0.8014053,-2.1045572
1.9850000,1.2350000,1.2092291,-0.0350790,-8.5971006,-10.9166176,-0.0088586,-0.0588210,-0.2475160,-0.7872183,-2.0676013
1.9900000,1.2400000,1.2142291,-0.0344579,-8.5486929,-10.8424858,-0.0087018,-0.0577794,-0.2431366,-0.7733318,-2.0314152
1.9950000,1.2450000,1.2192291,-0.0338499,-8.5004436,-10.7688096,-0.0085483,-0.0567600,-0.2388503,-0.7597383,-1.9959805
2.0000000,1.2500000,1.2242291,-0.0332549,-8.4523526,-10.6955875,-0.0083980,-0.0557622,-0.2346546,-0.7464307,-1.9612794
2.0050000,1.2550000,1.2292291,-0.0326723,-8.4044195,-10.6228175,-0.0082509,-0.0547855,-0.2305473,-0.7334020,-1.9272943
2.0100000,1.2600000,1.2342291,-0.0321021,-8.3566444,-10.5504981,-0.0081069,-0.0538293,-0.2265263,-0.7206452,-1.8940084
2.0150000,1.2650000,1.2392291,-0.0315438,-8.3090273,-10.4786274,-0.0079660,-0.0528931,-0.2225894,-0.7081539,-1.8614051
2.0200000,1.2700000,1.2442291,-0.0309972,-8.2615682,-10.4072037,-0.0078279,-0.0519765,-0.2187346,-0.6959216,-1.8294683
2.0250000,1.2750000,1.2492291,-0.0304619,-8.2142675,-10.3362251,-0.0076928,-0.0510790,-0.2149599,-0.6839421,-1.7981825
2.0300000,1.2800000,1.2542291,-0.0299377,-8.1671252,-10.2656901,-0.0075604,-0.0502001,-0.2112632,-0.6722092,-1.7675322
2.0350000,1.2850000,1.2592291,-0.0294244,-8.1201419,-10.1955967,-0.0074308,-0.0493393,-0.2076429,-0.6607171,-1.7375027
2.0400000,1.2900000,1.2642291,-0.0289216,-8.0733178,-10.1259431,-0.0073038,-0.0484962,-0.2040969,-0.6494599,-1.7080795
2.0450000,1.2950000,1.2692291,-0.0284291,-8.0266533,-10.0567276,-0.0071795,-0.0476704,-0.2006235,-0.6384322,-1.6792485
2.0500000,1.3000000,1.2742291,-0.0279467,-7.9801491,-9.9879483,-0.0070577,-0.0468615,-0.1972210,-0.6276284,-1.6509960
2.0550000,1.3050000,1.2792291,-0.0274741,-7.9338055,-9.9196034,-0.0069383,-0.0460691,-0.1938877,-0.6170433,-1.6233086
2.0600000,1.3100000,1.2842291,-0.0270111,-7.8876233,-9.8516912,-0.0068214,-0.0452927,-0.1906219,-0.6066717,-1.5961732
2.0650000,1.3150000,1.2892291,-0.0265575,-7.8416029,-9.7842097,-0.0067069,-0.0445321,-0.1874220,-0.5965085,-1.5695772
