# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
1.1150000,0.3650000,0.3430385,-4.2576590,-448.6447863,12.6613939
1.1200000,0.3700000,0.3480385,-4.1340880,-451.7577668,12.5086082
1.1250000,0.3750000,0.3530385,-4.0045450,-453.8015022,12.4203207
1.1300000,0.3800000,0.3580385,-3.8714151,-454.9122897,12.3858980
1.1350000,0.3850000,0.3630385,-3.7366329,-455.2098324,12.3956649
1.1400000,0.3900000,0.3680385,-3.6017559,-454.7990739,12.4410602
1.1450000,0.3950000,0.3730385,-3.4680296,-453.7720312,12.5146602
1.1500000,0.4000000,0.3780385,-3.3364424,-452.2094215,12.6101252
1.1550000,0.4050000,0.3830385,-3.2077709,-450.1820891,12.7221053
1.1600000,0.4100000,0.3880385,-3.0826190,-447.7550692,12.8461295
1.1650000,0.4150000,0.3930385,-2.9614501,-445.6513380,12.9784927
1.1700000,0.4200000,0.3980385,-2.8446109,-449.9671742,13.1161481
1.1750000,0.4250000,0.4030385,-2.7323465,-454.8818614,13.2566097
1.1800000,0.4300000,0.4080385,-2.6248139,-457.6266648,13.3978643
1.1850000,0.4350000,0.4130385,-2.5221015,-458.5435562,13.5382963
1.1900000,0.4400000,0.4180385,-2.4242547,-457.9878124,13.6766219
1.1950000,0.4450000,0.4230385,-2.3312939,-456.6513426,13.8118334
1.2000000,0.4500000,0.4280385,-2.2432127,-458.1427097,13.9431518
1.2050000,0.4550000,0.4330385,-2.1599534,-459.9788149,14.0699870
1.2100000,0.4600000,0.4380385,-2.0813753,-459.4678584,14.1919042
1.2150000,0.4650000,0.4430385,-2.0072404,-456.9482750,14.3085960
1.2200000,0.4700000,0.4480385,-1.9372345,-452.9044746,14.4198587
1.2250000,0.4750000,0.4530385,-1.8710215,-447.7441539,14.5255730
1.2300000,0.4800000,0.4580385,-1.8083048,-441.8619461,14.6256877
1.2350000,0.4850000,0.4630385,-1.7488577,-435.7398708,14.7202062
1.2400000,0.4900000,0.4680385,-1.6925115,-429.7143071,14.8091753
1.2450000,0.4950000,0.4730385,-1.6391289,-423.6558774,14.8926761
1.2500000,0.5000000,0.4780385,-1.5885903,-417.3583069,14.9708163
1.2550000,0.5050000,0.4830385,-1.5407875,-410.8178496,15.0437237
1.2600000,0.5100000,0.4880385,-1.4956097,-404.1453576,15.1115414
1.2650000,0.5150000,0.4930385,-1.4529151,-397.4650849,15.1744233
1.2700000,0.5200000,0.4980385,-1.4124838,-390.8681426,15.2325310
1.2750000,0.5250000,0.5030385,-1.3739784,-384.4015756,15.2860303
1.2800000,0.5300000,0.5080385,-1.3369661,-378.0791569,15.3350898
1.2850000,0.5350000,0.5130385,-1.3010159,-371.8987738,15.3798783
1.2900000,0.5400000,0.5180385,-1.2657991,-365.8548369,15.4205639
1.2950000,0.5450000,0.5230385,-1.2311167,-359.9433728,15.4573124
1.3000000,0.5500000,0.5280385,-1.1968545,-354.1626547,15.4902868
1.3050000,0.5550000,0.5330385,-1.1629271,-348.5122723,15.5196463
1.3100000,0.5600000,0.5380385,-1.1292576,-342.9920890,15.5455460
1.3150000,0.5650000,0.5430385,-1.0957894,-337.6015255,15.5681362
1.3200000,0.5700000,0.5480385,-1.0625063,-332.3391993,15.5875625
1.3250000,0.5750000,0.5530385,-1.0294412,-327.2028335,15.6039654
1.3300000,0.5800000,0.5580385,-0.9966699,-322.1893411,15.6174803
1.3350000,0.5850000,0.5630385,-0.9642966,-317.2950065,15.6282374
1.3400000,0.5900000,0.5680385,-0.9324366,-312.5157033,15.6363617
1.3450000,0.5950000,0.5730385,-0.9012020,-307.8471069,15.6419731
1.3500000,0.6000000,0.5780385,-0.8706923,-303.2848754,15.6451866
1.3550000,0.6050000,0.5830385,-0.8409891,-298.8247868,15.6461121
1.3600000,0.6100000,0.5880385,-0.8121543,-294.4628306,15.6448548
1.3650000,0.6150000,0.5930385,-0.7842308,-290.1952597,15.6415153
1.3700000,0.6200000,0.5980385,-0.7572447,-286.0186094,15.6361895
1.3750000,0.6250000,0.6030385,-0.7312074,-281.9296931,15.6289693
1.3800000,0.6300000,0.6080385,-0.7061188,-277.9255829,15.6199420
1.3850000,0.6350000,0.6130385,-0.6819690,-274.0035808,15.6091913
1.3900000,0.6400000,0.6180385,-0.6587414,-270.1611862,15.5967966
