# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
1.1439752,1.1439752,1.1327433,-0.0891566,-0.0717782,-0.2045383,-0.0225593,-0.1493760,-0.0891566,-0.0891566,-0.1051013,-0.0664718,-0.0914407,-0.0736172,-0.2097763,-0.0231374,-0.1532019,-0.0914407,-0.0914407,-0.1077938,-0.0681748
1.1489752,1.1489752,1.1377433,-0.0876591,-0.0705725,-0.2011034,-0.0221803,-0.1468674,-0.0876591,-0.0876591,-0.1033360,-0.0653553,-0.0899037,-0.0723797,-0.2062510,-0.0227484,-0.1506273,-0.0899037,-0.0899037,-0.1059820,-0.0670289
1.1539752,1.1539752,1.1427433,-0.0861918,-0.0693912,-0.1977381,-0.0218090,-0.1444096,-0.0861918,-0.0861918,-0.1016064,-0.0642614,-0.0883979,-0.0711674,-0.2027972,-0.0223673,-0.1481049,-0.0883979,-0.0883979,-0.1042069,-0.0659062
1.1589752,1.1589752,1.1477433,-0.0847542,-0.0682337,-0.1944405,-0.0214451,-0.1420014,-0.0847542,-0.0847542,-0.0999116,-0.0631895,-0.0869225,-0.0699795,-0.1994131,-0.0219939,-0.1456334,-0.0869225,-0.0869225,-0.1024676,-0.0648062
1.1639752,1.1639752,1.1527433,-0.0833454,-0.0670995,-0.1912091,-0.0210886,-0.1396415,-0.0833454,-0.0833454,-0.0982509,-0.0621392,-0.0854768,-0.0688155,-0.1960970,-0.0216280,-0.1432116,-0.0854768,-0.0854768,-0.1007633,-0.0637283
1.1689752,1.1689752,1.1577433,-0.0819649,-0.0659880,-0.1880424,-0.0207392,-0.1373287,-0.0819649,-0.0819649,-0.0966234,-0.0611099,-0.0840600,-0.0676748,-0.1928473,-0.0212695,-0.1408383,-0.0840600,-0.0840600,-0.0990932,-0.0626720
1.1739752,1.1739752,1.1627433,-0.0806118,-0.0648986,-0.1849387,-0.0203968,-0.1350621,-0.0806118,-0.0806118,-0.0950284,-0.0601011,-0.0826715,-0.0665569,-0.1896625,-0.0209181,-0.1385124,-0.0826715,-0.0826715,-0.0974564,-0.0616368
1.1789752,1.1789752,1.1677433,-0.0792856,-0.0638309,-0.1818967,-0.0200612,-0.1328404,-0.0792856,-0.0792856,-0.0934650,-0.0591123,-0.0813106,-0.0654613,-0.1865410,-0.0205737,-0.1362327,-0.0813106,-0.0813106,-0.0958521,-0.0606222
1.1839752,1.1839752,1.1727433,-0.0779856,-0.0627843,-0.1789148,-0.0197322,-0.1306627,-0.0779856,-0.0779856,-0.0919326,-0.0581431,-0.0799767,-0.0643873,-0.1834814,-0.0202361,-0.1339981,-0.0799767,-0.0799767,-0.0942797,-0.0596277
1.1889752,1.1889752,1.1777433,-0.0767113,-0.0617583,-0.1759917,-0.0194097,-0.1285279,-0.0767113,-0.0767113,-0.0904303,-0.0571930,-0.0786692,-0.0633346,-0.1804820,-0.0199052,-0.1318077,-0.0786692,-0.0786692,-0.0927383,-0.0586528
1.1939752,1.1939752,1.1827433,-0.0754620,-0.0607524,-0.1731260,-0.0190936,-0.1264350,-0.0754620,-0.0754620,-0.0889576,-0.0562616,-0.0773873,-0.0623026,-0.1775417,-0.0195808,-0.1296603,-0.0773873,-0.0773873,-0.0912272,-0.0576971
1.1989752,1.1989752,1.1877433,-0.0742371,-0.0597663,-0.1703163,-0.0187836,-0.1243831,-0.0742371,-0.0742371,-0.0875137,-0.0553484,-0.0761306,-0.0612908,-0.1746591,-0.0192628,-0.1275551,-0.0761306,-0.0761306,-0.0897457,-0.0567602
1.2039752,1.2039752,1.1927433,-0.0730361,-0.0587994,-0.1675614,-0.0184797,-0.1223711,-0.0730361,-0.0730361,-0.0860979,-0.0544530,-0.0749000,-0.0603000,-0.1718363,-0.0189513,-0.1254935,-0.0749000,-0.0749000,-0.0882950,-0.0558427
1.2089752,1.2089752,1.1977433,-0.0718585,-0.0578512,-0.1648599,-0.0181816,-0.1203982,-0.0718585,-0.0718585,-0.0847096,-0.0535750,-0.0736933,-0.0593284,-0.1690682,-0.0186460,-0.1234719,-0.0736933,-0.0736933,-0.0868725,-0.0549430
1.2139752,1.2139752,1.2027433,-0.0707036,-0.0569214,-0.1622108,-0.0178894,-0.1184635,-0.0707036,-0.0707036,-0.0833482,-0.0527139,-0.0725099,-0.0583757,-0.1663538,-0.0183465,-0.1214895,-0.0725099,-0.0725099,-0.0854775,-0.0540607
1.2189752,1.2189752,1.2077433,-0.0695710,-0.0560096,-0.1596127,-0.0176028,-0.1165661,-0.0695710,-0.0695710,-0.0820131,-0.0518695,-0.0713494,-0.0574414,-0.1636918,-0.0180528,-0.1195454,-0.0713494,-0.0713494,-0.0841095,-0.0531955
