# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
-0.1325600,-0.1325600,-0.1256453,40253.9897508,24238.5465110,186335.1143409,1504.8556236,130065.4967386,3122973.6456883,38202975.3066391,302629724.7828500
-0.1275600,-0.1275600,-0.1206453,37985.8441155,22863.2491583,175951.4940174,1411.0541303,122813.7176585,2950668.5955917,36099220.0806547,285972792.5261299
-0.1225600,-0.1225600,-0.1156453,34119.4482034,20521.1979209,158222.6183138,1253.3712124,110433.0602928,2656048.0878286,32501043.7002957,257481389.1827273
-0.1175600,-0.1175600,-0.1106453,30624.1442146,18402.1128951,142217.3662470,1109.1056696,99255.3326473,2390402.6701495,29257520.1418803,231799829.4925125
-0.1125600,-0.1125600,-0.1056453,28112.8213501,16879.7337917,130716.0050338,1005.5957364,91223.0876145,2199482.4840867,26926324.5067640,213341763.3721467
-0.1075600,-0.1075600,-0.1006453,26568.5141740,15943.6898556,123641.8791428,942.0608684,86282.7562475,2082030.7862912,25492148.6872382,201986059.3914735
-0.1025600,-0.1025600,-0.0956453,25978.5067363,15586.2168735,120937.4261595,917.9244084,84394.1160143,2037102.2164617,24943473.5352519,197641559.7043078
-0.0975600,-0.0975600,-0.0906453,26337.4609765,15804.0578373,122578.4533850,932.9464959,85540.2628915,2064299.0188818,25275451.3906967,200269899.7817179
-0.0925600,-0.0925600,-0.0856453,27648.6192323,16599.1935202,128579.6256277,987.2751475,89731.4445402,2163861.8452432,26491014.1197848,209894280.2811001
-0.0875600,-0.0875600,-0.0806453,29923.0717388,17978.3974795,138991.1219945,1081.4151693,97002.7251149,2336614.4314665,28600198.0110017,226594122.5083963
-0.0825600,-0.0825600,-0.0756453,33177.0941796,19951.6185311,153886.4851447,1216.1150865,107405.4980800,2583762.5422671,31617690.3465054,250485645.6412510
-0.0775600,-0.0775600,-0.0706453,37421.5387291,22525.5417930,173314.1280206,1391.9225713,120973.6166778,2906090.4051055,35553020.9416682,281644211.5927348
-0.0725600,-0.0725600,-0.0656453,39622.1980371,23858.2117032,183409.4422714,1481.3238280,128023.3581772,3073922.7541449,37602902.4328739,297876091.6387951
-0.0675600,-0.0675600,-0.0606453,42659.1719853,25700.5956113,197301.8272693,1607.7742948,137725.9758296,3304286.8631622,40415138.5803278,320141775.4265541
-0.0625600,-0.0625600,-0.0556453,39044.8986827,23512.3016060,180716.5064990,1461.3496111,126144.3174048,3028481.5209873,37046305.5387964,293465469.6798659
-0.0575600,-0.0575600,-0.0506453,36700.5602268,22092.8218233,169959.6706872,1366.2990385,118632.7034802,2849615.2900796,34861572.2870591,276165598.3093432
-0.0525600,-0.0525600,-0.0456453,33313.2612251,20053.0471451,154281.6768195,1239.5308558,107689.1038383,2586878.6433877,31647606.7661356,250705887.4272726
-0.0475600,-0.0475600,-0.0406453,27223.7876497,16362.9830010,126376.0190348,989.7573991,88201.1031955,2123393.1284737,25987694.6850960,205890288.0189683
