# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.0359750,0.0359750,0.2421786,14.5848775,-6346.9000296,5808.3981066,2.1553034,37.4902145,809.3376700,9324.5312719,68134.7731073
0.0409750,0.0409750,0.2471786,13.4054738,-6343.2732456,5793.9649145,1.9962545,33.6314663,722.1164297,8379.3142931,61353.2819274
0.0459750,0.0459750,0.2521786,12.3565359,-6338.4747229,5779.9799474,1.8390910,30.2452337,644.6206358,7536.5975044,55300.6366242
0.0509750,0.0509750,0.2571786,11.4110878,-6332.6206323,5760.5487561,1.6834077,27.2676716,575.6022195,6783.2961300,49883.7287996
0.0559750,0.0559750,0.2621786,10.5456558,-6325.8190530,5726.9575078,1.5290716,24.6450550,514.0097097,6108.4085164,45024.4006896
0.0609750,0.0609750,0.2671786,9.7409017,-6318.1696381,5695.8250736,1.3759729,22.3316092,458.9513519,5502.6199965,40656.5751972
0.0659750,0.0659750,0.2721786,8.9822495,-6309.7635814,5666.8971809,1.2238441,20.2876798,409.6658870,4957.9897686,36723.9910775
0.0709750,0.0709750,0.2771786,8.2600573,-6305.6702828,5639.9423433,1.0721357,18.4781097,365.4993058,4467.7024724,33178.4093387
0.0759750,0.0759750,0.2821786,7.5690948,-6301.5054112,5614.7503233,0.9200362,16.8708077,325.8862835,4025.8703534,29978.1877469
0.0809750,0.0809750,0.2871786,6.9074337,-6297.8757417,5591.1306242,0.7666517,15.4356534,290.3352910,3627.3751124,27087.1437555
0.0859750,0.0859750,0.2921786,6.2750728,-6293.0971683,5568.9110269,0.6112093,14.1440017,258.4166046,3267.7409768,24473.6440631
0.0909750,0.0909750,0.2971786,5.6726422,-6288.2911475,5543.7408330,0.4532430,12.9689924,229.7526076,2943.0324068,22109.8727117
