# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.6408333,0.6408333,0.6224119,-1.4668621,-1.1479771,-3.5887093,-0.3045793,-2.6105461,-12.4189184,-40.3845179,-92.3421977
0.6458333,0.6458333,0.6274119,-1.4267591,-1.1165554,-3.4910409,-0.2962176,-2.5394711,-12.0934555,-39.4677748,-91.3323165
0.6508333,0.6508333,0.6324119,-1.3880459,-1.0862254,-3.3967248,-0.2881483,-2.4708377,-11.7782395,-38.5690489,-90.2462344
0.6558333,0.6558333,0.6374119,-1.3506643,-1.0569411,-3.3056230,-0.2803588,-2.4045452,-11.4729245,-37.6886909,-89.0960778
0.6608333,0.6608333,0.6424119,-1.3145590,-1.0286589,-3.2176044,-0.2728374,-2.3404980,-11.1771736,-36.8269374,-87.8925981
0.6658333,0.6658333,0.6474119,-1.2796773,-1.0013371,-3.1325438,-0.2655728,-2.2786047,-10.8906600,-35.9839259,-86.6453222
0.6708333,0.6708333,0.6524119,-1.2459689,-0.9749363,-3.0503218,-0.2585544,-2.2187783,-10.6130666,-35.1597093,-85.3626860
0.6758333,0.6758333,0.6574119,-1.2133861,-0.9494188,-2.9708246,-0.2517719,-2.1609359,-10.3440858,-34.3542671,-84.0521531
0.6808333,0.6808333,0.6624119,-1.1818833,-0.9247487,-2.8939437,-0.2452157,-2.1049981,-10.0834204,-33.5675166,-82.7203206
0.6858333,0.6858333,0.6674119,-1.1514173,-0.9008919,-2.8195753,-0.2388767,-2.0508897,-9.8307823,-32.7993217,-81.3730126
0.6908333,0.6908333,0.6724119,-1.1219466,-0.8778158,-2.7476206,-0.2327460,-1.9985383,-9.5858935,-32.0495011,-80.0153643
0.6958333,0.6958333,0.6774119,-1.0934318,-0.8554895,-2.6779852,-0.2268153,-1.9478754,-9.3484852,-31.3178355,-78.6518963
0.7008333,0.7008333,0.6824119,-1.0658353,-0.8338832,-2.6105791,-0.2210766,-1.8988351,-9.1182978,-30.6040738,-77.2865806
0.7058333,0.7058333,0.6874119,-1.0391213,-0.8129689,-2.5453160,-0.2155225,-1.8513547,-8.8950809,-29.9079384,-75.9229004
0.7108333,0.7108333,0.6924119,-1.0132555,-0.7927196,-2.4821138,-0.2101455,-1.8053744,-8.6785930,-29.2291302,-74.5639025
0.7158333,0.7158333,0.6974119,-0.9882052,-0.7731096,-2.4208939,-0.2049389,-1.7608369,-8.4686012,-28.5673323,-73.2122443
0.7208333,0.7208333,0.7024119,-0.9639393,-0.7541144,-2.3615811,-0.1998961,-1.7176874,-8.2648807,-27.9222144,-71.8702363
0.7258333,0.7258333,0.7074119,-0.9404278,-0.7357105,-2.3041038,-0.1950107,-1.6758737,-8.0672153,-27.2934350,-70.5398791
0.7308333,0.7308333,0.7124119,-0.9176424,-0.7178756,-2.2483931,-0.1902768,-1.6353458,-7.8753964,-26.6806451,-69.2228976
0.7358333,0.7358333,0.7174119,-0.8955557,-0.7005883,-2.1943835,-0.1856887,-1.5960558,-7.6892230,-26.0834899,-67.9207705
0.7408333,0.7408333,0.7224119,-0.8741417,-0.6838280,-2.1420120,-0.1812409,-1.5579579,-7.5085018,-25.5016111,-66.6347573
0.7458333,0.7458333,0.7274119,-0.8533756,-0.6675754,-2.0912186,-0.1769282,-1.5210084,-7.3330463,-24.9346487,-65.3659223
0.7508333,0.7508333,0.7324119,-0.8332336,-0.6518117,-2.0419457,-0.1727455,-1.4851653,-7.1626770,-24.3822427,-64.1151562
0.7558333,0.7558333,0.7374119,-0.8136927,-0.6365189,-1.9941381,-0.1686881,-1.4503885,-6.9972212,-23.8440341,-62.8831951
0.7608333,0.7608333,0.7424119,-0.7947313,-0.6216800,-1.9477430,-0.1647513,-1.4166396,-6.8365126,-23.3196663,-61.6706379
0.7658333,0.7658333,0.7474119,-0.7763285,-0.6072786,-1.9027100,-0.1609310,-1.3838817,-6.6803908,-22.8087858,-60.4779615
0.7708333,0.7708333,0.7524119,-0.7584641,-0.5932991,-1.8589905,-0.1572227,-1.3520795,-6.5287018,-22.3110434,-59.3055348
0.7758333,0.7758333,0.7574119,-0.7411192,-0.5797262,-1.8165382,-0.1536226,-1.3211994,-6.3812969,-21.8260945,-58.1536309
0.7808333,0.7808333,0.7624119,-0.7242753,-0.5665458,-1.7753083,-0.1501267,-1.2912087,-6.2380333,-21.3535999,-57.0224381
0.7858333,0.7858333,0.7674119,-0.7079147,-0.5537439,-1.7352584,-0.1467315,-1.2620766,-6.0987734,-20.8932261,-55.9120700
0.7908333,0.7908333,0.7724119,-0.6920208,-0.5413073,-1.6963474,-0.1434333,-1.2337730,-5.9633844,-20.4446459,-54.8225743
0.7958333,0.7958333,0.7774119,-0.6765772,-0.5292234,-1.6585360,-0.1402288,-1.2062696,-5.8317389,-20.0075387,-53.7539408
0.8008333,0.8008333,0.7824119,-0.6615685,-0.5174799,-1.6217866,-0.1371147,-1.1795387,-5.7037140,-19.5815904,-52.7061082
0.8058333,0.8058333,0.7874119,-0.6469797,-0.5060653,-1.5860630,-0.1340880,-1.1535541,-5.5791913,-19.1664938,-51.6789708
0.8108333,0.8108333,0.7924119,-0.6327966,-0.4949682,-1.5513303,-0.1311456,-1.1282905,-5.4580568,-18.7619491,-50.6723843
0.8158333,0.8158333,0.7974119,-0.6190054,-0.4841780,-1.5175553,-0.1282847,-1.1037236,-5.3402007,-18.3676631,-49.6861703
0.8208333,0.8208333,0.8024119,-0.6055930,-0.4736843,-1.4847059,-0.1255026,-1.0798301,-5.2255173,-17.9833503,-48.7201215
0.8258333,0.8258333,0.8074119,-0.5925468,-0.4634773,-1.4527513,-0.1227965,-1.0565876,-5.1139047,-17.6087320,-47.7740057
0.8308333,0.8308333,0.8124119,-0.5798545,-0.4535473,-1.4216620,-0.1201640,-1.0339745,-5.0052648,-17.2435369,-46.8475689
0.8358333,0.8358333,0.8174119,-0.5675045,-0.4438852,-1.3914094,-0.1176026,-1.0119701,-4.8995030,-16.8875006,-45.9405393
0.8408333,0.8408333,0.8224119,-0.5554856,-0.4344823,-1.3619663,-0.1151100,-0.9905547,-4.7965280,-16.5403661,-45.0526296
0.8458333,0.8458333,0.8274119,-0.5437869,-0.4253301,-1.3333064,-0.1126839,-0.9697089,-4.6962521,-16.2018831,-44.1835399
0.8508333,0.8508333,0.8324119,-0.5323981,-0.4164204,-1.3054043,-0.1103222,-0.9494145,-4.5985907,-15.8718084,-43.3329601
0.8558333,0.8558333,0.8374119,-0.5213093,-0.4077454,-1.2782358,-0.1080228,-0.9296536,-4.5034619,-15.5499054,-42.5005715
0.8608333,0.8608333,0.8424119,-0.5105107,-0.3992977,-1.2517774,-0.1057837,-0.9104094,-4.4107873,-15.2359444,-41.6860493
0.8658333,0.8658333,0.8474119,-0.4999933,-0.3910699,-1.2260066,-0.1036029,-0.8916653,-4.3204908,-14.9297021,-40.8890636
0.8708333,0.8708333,0.8524119,-0.4897480,-0.3830551,-1.2009017,-0.1014787,-0.8734056,-4.2324992,-14.6309617,-40.1092811
0.8758333,0.8758333,0.8574119,-0.4797663,-0.3752467,-1.1764418,-0.0994092,-0.8556152,-4.1467421,-14.3395126,-39.3463664
0.8808333,0.8808333,0.8624119,-0.4700399,-0.3676380,-1.1526068,-0.0973927,-0.8382793,-4.0631511,-14.0551504,-38.5999833
0.8858333,0.8858333,0.8674119,-0.4605611,-0.3602230,-1.1293773,-0.0954275,-0.8213838,-3.9816607,-13.7776768,-37.8697953
0.8908333,0.8908333,0.8724119,-0.4513219,-0.3529956,-1.1067347,-0.0935122,-0.8049152,-3.9022074,-13.5068991,-37.1554669
0.8958333,0.8958333,0.8774119,-0.4423152,-0.3459501,-1.0846609,-0.0916450,-0.7888604,-3.8247301,-13.2426306,-36.4566642
0.9008333,0.9008333,0.8824119,-0.4335338,-0.3390809,-1.0631386,-0.0898247,-0.7732068,-3.7491696,-12.9846899,-35.7730556
0.9058333,0.9058333,0.8874119,-0.4249709,-0.3323826,-1.0421511,-0.0880496,-0.7579422,-3.6754690,-12.7329011,-35.1043123
0.9108333,0.9108333,0.8924119,-0.4166198,-0.3258501,-1.0216822,-0.0863185,-0.7430548,-3.6035731,-12.4870938,-34.4501090
0.9158333,0.9158333,0.8974119,-0.4084741,-0.3194783,-1.0017164,-0.0846301,-0.7285334,-3.5334288,-12.2471023,-33.8101242
0.9208333,0.9208333,0.9024119,-0.4005278,-0.3132626,-0.9822388,-0.0829830,-0.7143670,-3.4649847,-12.0127662,-33.1840405
0.9258333,0.9258333,0.9074119,-0.3927750,-0.3071982,-0.9632347,-0.0813761,-0.7005451,-3.3981913,-11.7839298,-32.5715451
0.9308333,0.9308333,0.9124119,-0.3852098,-0.3012806,-0.9446903,-0.0798080,-0.6870575,-3.3330007,-11.5604421,-31.9723298
0.9358333,0.9358333,0.9174119,-0.3778268,-0.2955056,-0.9265920,-0.0782778,-0.6738944,-3.2693664,-11.3421566,-31.3860916
0.9408333,0.9408333,0.9224119,-0.3706207,-0.2898689,-0.9089269,-0.0767843,-0.6610464,-3.2072438,-11.1289314,-30.8125326
0.9458333,0.9458333,0.9274119,-0.3635863,-0.2843666,-0.8916823,-0.0753264,-0.6485043,-3.1465896,-10.9206286,-30.2513601
0.9508333,0.9508333,0.9324119,-0.3567186,-0.2789947,-0.8748462,-0.0739031,-0.6362593,-3.0873620,-10.7171148,-29.7022871
0.9558333,0.9558333,0.9374119,-0.3500129,-0.2737496,-0.8584067,-0.0725133,-0.6243028,-3.0295206,-10.5182604,-29.1650318
0.9608333,0.9608333,0.9424119,-0.3434645,-0.2686275,-0.8423526,-0.0711562,-0.6126266,-2.9730263,-10.3239396,-28.6393181
0.9658333,0.9658333,0.9474119,-0.3370690,-0.2636250,-0.8266729,-0.0698308,-0.6012227,-2.9178413,-10.1340307,-28.1248758
0.9708333,0.9708333,0.9524119,-0.3308219,-0.2587387,-0.8113570,-0.0685362,-0.5900834,-2.8639290,-9.9484155,-27.6214398
