# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
1.7689128,1.7689128,1.9702297,-0.0267175,-0.0208916,-0.0655651
1.7739128,1.7739128,1.9752297,-0.0264121,-0.0206528,-0.0648155
1.7789128,1.7789128,1.9802297,-0.0261109,-0.0204172,-0.0640762
1.7839128,1.7839128,1.9852297,-0.0258137,-0.0201848,-0.0633469
1.7889128,1.7889128,1.9902297,-0.0255205,-0.0199556,-0.0626275
1.7939128,1.7939128,1.9952297,-0.0252314,-0.0197295,-0.0619178
1.7989128,1.7989128,2.0002297,-0.0249461,-0.0195064,-0.0612177
1.8039128,1.8039128,2.0052297,-0.0246646,-0.0192864,-0.0605270
1.8089128,1.8089128,2.0102297,-0.0243870,-0.0190692,-0.0598456
1.8139128,1.8139128,2.0152297,-0.0241130,-0.0188550,-0.0591733
1.8189128,1.8189128,2.0202297,-0.0238428,-0.0186437,-0.0585100
1.8239128,1.8239128,2.0252297,-0.0235761,-0.0184352,-0.0578556
1.8289128,1.8289128,2.0302297,-0.0233130,-0.0182294,-0.0572098
1.8339128,1.8339128,2.0352297,-0.0230533,-0.0180264,-0.0565727
1.8389128,1.8389128,2.0402297,-0.0227971,-0.0178261,-0.0559440
1.8439128,1.8439128,2.0452297,-0.0225443,-0.0176284,-0.0553235
1.8489128,1.8489128,2.0502297,-0.0222948,-0.0174333,-0.0547113
1.8539128,1.8539128,2.0552297,-0.0220487,-0.0172408,-0.0541071
1.8589128,1.8589128,2.0602297,-0.0218057,-0.0170508,-0.0535109
1.8639128,1.8639128,2.0652297,-0.0215659,-0.0168633,-0.0529224
1.8689128,1.8689128,2.0702297,-0.0213293,-0.0166783,-0.0523417
1.8739128,1.8739128,2.0752297,-0.0210957,-0.0164957,-0.0517685
1.8789128,1.8789128,2.0802297,-0.0208652,-0.0163154,-0.0512028
1.8839128,1.8839128,2.0852297,-0.0206377,-0.0161375,-0.0506444
1.8889128,1.8889128,2.0902297,-0.0204131,-0.0159619,-0.0500933
1.8939128,1.8939128,2.0952297,-0.0201914,-0.0157886,-0.0495493
1.8989128,1.8989128,2.1002297,-0.0199726,-0.0156174,-0.0490123
1.9039128,1.9039128,2.1052297,-0.0197566,-0.0154485,-0.0484822
1.9089128,1.9089128,2.1102297,-0.0195433,-0.0152818,-0.0479589
1.9139128,1.9139128,2.1152297,-0.0193328,-0.0151172,-0.0474424
1.9189128,1.9189128,2.1202297,-0.0191250,-0.0149547,-0.0469324
1.9239128,1.9239128,2.1252297,-0.0189199,-0.0147943,-0.0464289
1.9289128,1.9289128,2.1302297,-0.0187173,-0.0146359,-0.0459319
1.9339128,1.9339128,2.1352297,-0.0185174,-0.0144796,-0.0454411
1.9389128,1.9389128,2.1402297,-0.0183199,-0.0143252,-0.0449566
1.9439128,1.9439128,2.1452297,-0.0181250,-0.0141728,-0.0444782
1.9489128,1.9489128,2.1502297,-0.0179325,-0.0140222,-0.0440059
1.9539128,1.9539128,2.1552297,-0.0177425,-0.0138736,-0.0435395
1.9589128,1.9589128,2.1602297,-0.0175548,-0.0137269,-0.0430790
1.9639128,1.9639128,2.1652297,-0.0173695,-0.0135820,-0.0426242
1.9689128,1.9689128,2.1702297,-0.0171865,-0.0134389,-0.0421751
1.9739128,1.9739128,2.1752297,-0.0170058,-0.0132976,-0.0417317
1.9789128,1.9789128,2.1802297,-0.0168274,-0.0131581,-0.0412937
1.9839128,1.9839128,2.1852297,-0.0166511,-0.0130203,-0.0408613
1.9889128,1.9889128,2.1902297,-0.0164771,-0.0128842,-0.0404341
1.9939128,1.9939128,2.1952297,-0.0163052,-0.0127498,-0.0400123
1.9989128,1.9989128,2.2002297,-0.0161354,-0.0126170,-0.0395957
