# r[nm],d[nm],daligned[nm],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol]
1.1650000,0.4150000,0.3851329,-3.0977265,-68.2129687,-130.9750065,-0.9600460,-4.6550300,-29.1857389,-60.0553411,-3.6795794,-2.2764283,-4.3424642,-82.9177472,-144.9645535,-1.6021285,-6.2824676,-43.6081639,-73.4406673,-5.1190652,-3.2375811
1.1700000,0.4200000,0.3901329,-2.9911387,-67.4742231,-128.3338350,-0.9203422,-4.5176459,-28.7278462,-58.5815974,-3.5506000,-2.2014457,-4.1958397,-82.1837166,-142.3594823,-1.5843066,-6.1157334,-43.1604358,-71.9568451,-4.9462186,-3.1282633
1.1750000,0.4250000,0.3951329,-2.8891131,-66.7487274,-125.7100651,-0.8814913,-4.3809460,-28.2793579,-57.1440862,-3.4270523,-2.1296775,-4.0495602,-81.4618756,-139.7574135,-1.5518969,-5.9427522,-42.7208877,-70.5010263,-4.7737787,-3.0192028
1.1800000,0.4300000,0.4001329,-2.7914810,-66.0362658,-123.1121989,-0.8436511,-4.2459980,-27.8405105,-55.7434534,-3.3088370,-2.0608748,-3.9621296,-80.7522381,-137.1688916,-1.5092040,-5.7658404,-42.2896920,-69.0747869,-4.6707121,-2.9540177
1.1850000,0.4350000,0.4051329,-2.6979398,-65.3366232,-120.5473800,-0.8069706,-4.1136884,-27.4114077,-54.3799930,-3.1956900,-1.9947331,-3.8949974,-80.0547647,-134.6025810,-1.4595282,-5.5868940,-41.8669426,-67.6792734,-4.5915741,-2.9039664
1.1900000,0.4400000,0.4101329,-2.6081161,-64.6495819,-118.0215089,-0.7715701,-3.9846979,-26.9920525,-53.0537018,-3.0872251,-1.9309493,-3.8149426,-79.3693726,-132.0655430,-1.4053873,-5.4074590,-41.4526701,-66.3152705,-4.4972024,-2.8442805
1.1950000,0.4450000,0.4151329,-2.5216332,-63.9749200,-115.5393627,-0.7375347,-3.8594964,-26.5823730,-51.7643302,-2.9830103,-1.8692373,-3.7249259,-78.6959431,-129.5634744,-1.3486909,-5.2287897,-41.0468533,-64.9832610,-4.3910872,-2.7771674
1.2000000,0.4500000,0.4201329,-2.4381367,-63.3124102,-113.1047152,-0.7049148,-3.7383525,-26.1822419,-50.5114280,-2.8826280,-1.8093166,-3.6274341,-78.0343287,-127.1009125,-1.3170993,-5.0518966,-40.6494295,-63.6834749,-4.2761600,-2.7044811
1.2050000,0.4550000,0.4251329,-2.3572833,-62.6618200,-110.7204521,-0.6737308,-3.6213446,-25.7914916,-49.2943852,-2.7856847,-1.7509106,-3.5245480,-77.3843579,-124.6814120,-1.2883180,-4.8775876,-40.2603027,-62.4159334,-4.1548740,-2.6277730
1.2100000,0.4600000,0.4301329,-2.2787351,-62.0229118,-108.3886817,-0.6439783,-3.5083852,-25.4099263,-48.1124678,-2.6917959,-1.6937685,-3.4180018,-76.7458406,-122.3076960,-1.2496090,-4.7142681,-39.8793501,-61.1804850,-4.0292731,-2.5483361
