AtomID,AtomName,AtomType,x[nm],y[nm],z[nm],charge[e],mass[AMU],sigma[nm],epsilon[kjmol]
79,IFE79,IFE,-0.44561111111109697,-0.6938749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
80,IFE80,IFE,-0.26761111111109703,-0.5668749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
81,IFE81,IFE,-0.44561111111109697,-0.440874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
82,IFE82,IFE,-0.26761111111109703,-0.3148749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
83,IFE83,IFE,-0.44561111111109697,-0.18887499999998703,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
84,IFE84,IFE,-0.26761111111109703,-0.06287499999998691,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
85,IFE85,IFE,-0.44561111111109697,0.06312500000001298,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
86,IFE86,IFE,-0.26761111111109703,0.1891250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
87,IFE87,IFE,-0.44561111111109697,0.315125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
88,IFE88,IFE,-0.26761111111109703,0.4411250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
89,IFE89,IFE,-0.44561111111109697,0.567125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
90,IFE90,IFE,-0.26761111111109703,0.6931250000000129,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
91,IFE91,IFE,-0.44561111111109697,0.8191250000000132,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
92,IFE92,IFE,-0.26761111111109703,0.9451250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
93,IFE93,IFE,-0.44561111111109697,1.0721250000000129,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
94,IFE94,IFE,-0.26761111111109703,1.1981250000000132,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
95,IFE95,IFE,-0.44561111111109697,1.324125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
96,IFE96,IFE,-0.26761111111109703,1.450125000000013,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
97,IFE97,IFE,-0.0896111111110971,-1.449874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
98,IFE98,IFE,0.08938888888890295,-1.3238749999999868,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
99,IFE99,IFE,-0.0896111111110971,-1.197874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
100,IFE100,IFE,0.08938888888890295,-1.071874999999987,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
101,IFE101,IFE,-0.0896111111110971,-0.9458749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
102,IFE102,IFE,0.08938888888890295,-0.8198749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
103,IFE103,IFE,-0.0896111111110971,-0.6938749999999869,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
104,IFE104,IFE,0.08938888888890295,-0.5668749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
105,IFE105,IFE,-0.0896111111110971,-0.440874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
106,IFE106,IFE,0.08938888888890295,-0.3148749999999869,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
107,IFE107,IFE,-0.0896111111110971,-0.18887499999998703,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
108,IFE108,IFE,0.08938888888890295,-0.06287499999998691,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
109,IFE109,IFE,-0.0896111111110971,0.06312500000001298,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
110,IFE110,IFE,0.08938888888890295,0.1891250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
111,IFE111,IFE,-0.0896111111110971,0.315125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
112,IFE112,IFE,0.08938888888890295,0.4411250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
113,IFE113,IFE,-0.0896111111110971,0.567125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
114,IFE114,IFE,0.08938888888890295,0.6931250000000129,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
115,IFE115,IFE,-0.0896111111110971,0.8191250000000132,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
116,IFE116,IFE,0.08938888888890295,0.9451250000000131,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
117,IFE117,IFE,-0.0896111111110971,1.0721250000000129,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
118,IFE118,IFE,0.08938888888890295,1.1981250000000132,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
119,IFE119,IFE,-0.0896111111110971,1.324125000000013,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
120,IFE120,IFE,0.08938888888890295,1.450125000000013,-1.2610000000000001,0.00000,55.8470,2.30742767998e-01,2.510400e+01
121,IFE121,IFE,0.2673888888889029,-1.449874999999987,-1.387,0.00000,55.8470,2.30742767998e-01,2.510400e+01
