# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0950000,0.0950000,0.0950000,inf,nan,24177166.3979315,40193.9651065,25738.0816022,163514.5285631,2371.6231344,115093.5297806,40237.2579937,40150.6722192,47382.2057016,29967.1381159,844040.2204754,40193.9651065,25738.0816022,163514.5285631,2371.6231344,115093.5297806,40237.2579937,40150.6722192,47382.2057016,29967.1381159,844040.2204754
0.0975000,0.0975000,0.0975000,inf,nan,20374594.8601006,36712.3275723,23502.6215346,149543.8643959,2155.6274296,105256.7814890,36755.8976785,36668.7574661,43277.9162794,27371.3575658,771887.7769897,36712.3275723,23502.6215346,149543.8643959,2155.6274296,105256.7814890,36755.8976785,36668.7574661,43277.9162794,27371.3575658,771887.7769897
0.1000000,0.1000000,0.1000000,inf,nan,21910128.4641965,33572.0053022,21486.8829685,136936.2951882,1961.2287657,96380.1157266,33615.8679716,33528.1426328,39575.9825344,25030.0490896,706777.9723419,33572.0053022,21486.8829685,136936.2951882,1961.2287657,96380.1157266,33615.8679716,33528.1426328,39575.9825344,25030.0490896,706777.9723419
0.1025000,0.1025000,0.1025000,inf,nan,28674904.4010396,30734.9749750,19666.3529122,125540.4631317,1798.2373572,88356.9042809,30779.1441651,30690.8057848,36231.5811003,22914.8639012,647928.6052046,30734.9749750,19666.3529122,125540.4631317,1785.9924541,88356.9042809,30779.1441651,30690.8057848,36231.5811003,22914.8639012,647928.6052046
0.1050000,0.1050000,0.1050000,inf,nan,37005393.9615793,28167.9542840,18019.5738219,115223.8987220,1640.0323539,81093.8242338,28212.4425726,28123.4659955,33205.4775025,21000.9879403,594655.0775918,28167.9542840,18019.5738219,115223.8987220,1627.7874508,81093.8242338,28212.4425726,28123.4659955,33205.4775025,21000.9879403,594655.0775918
0.1075000,0.1075000,0.1075000,inf,nan,56433770.7331429,25841.8147872,16527.7656469,105870.6743281,1496.9938810,74509.2054426,25886.6333830,25796.9961914,30463.3340031,19266.7041145,546358.2730766,25841.8147872,16527.7656469,105870.6743281,1484.7489779,74509.2054426,25886.6333830,25796.9961914,30463.3340031,19266.7041145,546358.2730766
0.1100000,0.1100000,0.1100000,inf,nan,49105803.2713106,23731.0530876,15174.4854498,97379.2904457,1367.4897765,68531.5419123,23776.2118452,23685.8943301,27975.0862085,17692.9980317,502513.6372461,23731.0530876,15174.4854498,97379.2904457,1355.2448733,68531.5419123,23776.2118452,23685.8943301,27975.0862085,17692.9980317,502513.6372461
0.1125000,0.1125000,0.1125000,inf,nan,30347077.9898963,21813.3180177,13945.3230891,89660.7855233,1250.0904183,63098.1606346,21858.8254547,21767.8105807,25714.3856948,16263.2054855,462661.4132412,21813.3180177,13945.3230891,89660.7855233,1237.8455151,63098.1606346,21858.8254547,21767.8105807,25714.3856948,16263.2054855,462661.4132412
0.1150000,0.1150000,0.1150000,inf,nan,19535059.9394592,20068.9907560,12827.6309805,82637.0572867,1143.5420204,58154.0393809,20114.8540742,20023.1274377,23658.1050340,14962.6994062,426397.9699321,20068.9907560,12827.6309805,82637.0572867,1131.2971173,58154.0393809,20114.8540742,20023.1274377,23658.1050340,14962.6994062,426397.9699321
0.1175000,0.1175000,0.1175000,inf,nan,13312280.0564456,18480.8143344,11810.2856395,76239.3815905,1046.7430682,53650.7636009,18527.0394427,18434.5892262,21785.9010428,13778.6136349,393368.1504614,18480.8143344,11810.2856395,76239.3815905,1034.4981651,53650.7636009,18527.0394427,18434.5892262,21785.9010428,13778.6136349,393368.1504614
