# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.7475000,0.7475000,0.7475000,-0.1090039,1.3382013,-0.9874888,-0.1090039,178.2238745,-197.9805486,-0.0257952,-0.1860521,90.1323330,-96.8488557,-0.1285439,-0.0812281,-1.4068434
0.7500000,0.7500000,0.7500000,-0.1066558,1.3337308,-0.9769167,-0.1066558,177.6917836,-197.2111921,-0.0252347,-0.1820946,89.8572679,-96.4790554,-0.1257734,-0.0794797,-1.3758620
0.7525000,0.7525000,0.7525000,-0.1043665,1.3292902,-0.9664977,-0.1043665,177.1625140,-196.4481018,-0.0246885,-0.1782334,89.5837032,-96.1123457,-0.1230723,-0.0777750,-1.3456899
0.7550000,0.7550000,0.7550000,-0.1021343,1.3248792,-0.9562289,-0.1021343,176.6360465,-195.6911995,-0.0241563,-0.1744658,89.3116293,-95.7486866,-0.1204386,-0.0761128,-1.3163028
0.7575000,0.7575000,0.7575000,-0.0999576,1.3204975,-0.9461077,-0.0999576,176.1123623,-194.9404081,-0.0236376,-0.1707895,89.0410365,-95.3880389,-0.1178705,-0.0744918,-1.2876772
0.7600000,0.7600000,0.7600000,-0.0978348,1.3161447,-0.9361313,-0.0978348,175.5914426,-194.1956520,-0.0231319,-0.1672019,88.7719152,-95.0303639,-0.1153661,-0.0729109,-1.2597903
0.7625000,0.7625000,0.7625000,-0.0957645,1.3118207,-0.9262971,-0.0957645,175.0732690,-193.4568569,-0.0226390,-0.1637009,88.5042559,-94.6756237,-0.1129236,-0.0713691,-1.2326200
0.7650000,0.7650000,0.7650000,-0.0937451,1.3075250,-0.9166026,-0.0937451,174.5578229,-192.7239496,-0.0221585,-0.1602840,88.2380491,-94.3237809,-0.1105414,-0.0698651,-1.2061452
0.7675000,0.7675000,0.7675000,-0.0917754,1.3032575,-0.9070452,-0.0917754,174.0450862,-191.9968584,-0.0216899,-0.1569491,87.9732853,-93.9747988,-0.1082177,-0.0683980,-1.1803451
0.7700000,0.7700000,0.7700000,-0.0898538,1.2990178,-0.8976225,-0.0898538,173.5350408,-191.2755125,-0.0212330,-0.1536940,87.7099550,-93.6286413,-0.1059509,-0.0669668,-1.1551999
0.7725000,0.7725000,0.7725000,-0.0879791,1.2948058,-0.8883322,-0.0879791,173.0276688,-190.5598426,-0.0207875,-0.1505167,87.4480490,-93.2852729,-0.1037395,-0.0655704,-1.1306903
0.7750000,0.7750000,0.7750000,-0.0861500,1.2906210,-0.8791717,-0.0861500,172.5229526,-189.8497802,-0.0203529,-0.1474150,87.1875578,-92.9446588,-0.1015818,-0.0642080,-1.1067976
0.7775000,0.7775000,0.7775000,-0.0843652,1.2864632,-0.8701389,-0.0843652,172.0208743,-189.1452581,-0.0199290,-0.1443870,86.9284722,-92.6067644,-0.0994765,-0.0628785,-1.0835038
0.7800000,0.7800000,0.7800000,-0.0826236,1.2823323,-0.8612315,-0.0826236,171.5214167,-188.4462104,-0.0195155,-0.1414308,86.6707828,-92.2715562,-0.0974221,-0.0615811,-1.0607914
0.7825000,0.7825000,0.7825000,-0.0809238,1.2782278,-0.8524473,-0.0809238,171.0245624,-187.7525720,-0.0191121,-0.1385445,86.4144805,-91.9390008,-0.0954173,-0.0603149,-1.0386436
0.7850000,0.7850000,0.7850000,-0.0792649,1.2741496,-0.8437842,-0.0792649,170.5302942,-187.0642790,-0.0187185,-0.1357262,86.1595560,-91.6090655,-0.0934605,-0.0590791,-1.0170441
0.7875000,0.7875000,0.7875000,-0.0776456,1.2700974,-0.8352400,-0.0776456,170.0385951,-186.3812684,-0.0183344,-0.1329742,85.9060003,-91.2817182,-0.0915506,-0.0578727,-0.9959771
0.7900000,0.7900000,0.7900000,-0.0760650,1.2660710,-0.8268126,-0.0760650,169.5494482,-185.7034784,-0.0179596,-0.1302867,85.6538042,-90.9569272,-0.0896863,-0.0566952,-0.9754272
0.7925000,0.7925000,0.7925000,-0.0745219,1.2620700,-0.8185001,-0.0745219,169.0628368,-185.0308481,-0.0175938,-0.1276620,85.4029587,-90.6346615,-0.0878663,-0.0555455,-0.9553798
