# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
1.3175000,1.3175000,1.3175000,-0.0028462,-0.0009580,-0.1585814,-0.0028462,-0.9018550,-0.6277732,-0.0006774,-0.0048682,-0.2387273,-0.1586345,-0.0033552,-0.0021220,-0.0359953
1.3200000,1.3200000,1.3200000,-0.0028131,-0.0009546,-0.1576653,-0.0028131,-0.8947461,-0.6231449,-0.0006696,-0.0048117,-0.2368925,-0.1573351,-0.0033162,-0.0020973,-0.0355772
1.3225000,1.3225000,1.3225000,-0.0027805,-0.0009511,-0.1567562,-0.0027805,-0.8877086,-0.6185571,-0.0006618,-0.0047559,-0.2350761,-0.1560482,-0.0032778,-0.0020730,-0.0351648
1.3250000,1.3250000,1.3250000,-0.0027483,-0.0009477,-0.1558541,-0.0027483,-0.8807418,-0.6140093,-0.0006542,-0.0047009,-0.2332781,-0.1547737,-0.0032399,-0.0020491,-0.0347580
1.3275000,1.3275000,1.3275000,-0.0027166,-0.0009443,-0.1549589,-0.0027166,-0.8738447,-0.6095012,-0.0006466,-0.0046466,-0.2314981,-0.1535114,-0.0032025,-0.0020254,-0.0343567
1.3300000,1.3300000,1.3300000,-0.0026853,-0.0009409,-0.1540707,-0.0026853,-0.8670166,-0.6050324,-0.0006392,-0.0045931,-0.2297360,-0.1522613,-0.0031656,-0.0020021,-0.0339608
1.3325000,1.3325000,1.3325000,-0.0026545,-0.0009376,-0.1531892,-0.0026545,-0.8602566,-0.6006023,-0.0006318,-0.0045403,-0.2279914,-0.1510230,-0.0031292,-0.0019791,-0.0335702
1.3350000,1.3350000,1.3350000,-0.0026240,-0.0009342,-0.1523145,-0.0026240,-0.8535639,-0.5962108,-0.0006246,-0.0044882,-0.2262643,-0.1497966,-0.0030933,-0.0019563,-0.0331849
1.3375000,1.3375000,1.3375000,-0.0025939,-0.0009309,-0.1514465,-0.0025939,-0.8469377,-0.5918573,-0.0006175,-0.0044368,-0.2245544,-0.1485819,-0.0030578,-0.0019339,-0.0328048
1.3400000,1.3400000,1.3400000,-0.0025643,-0.0009276,-0.1505851,-0.0025643,-0.8403772,-0.5875414,-0.0006104,-0.0043861,-0.2228615,-0.1473787,-0.0030229,-0.0019118,-0.0324297
1.3425000,1.3425000,1.3425000,-0.0025350,-0.0009243,-0.1497302,-0.0025350,-0.8338816,-0.5832629,-0.0006034,-0.0043360,-0.2211854,-0.1461870,-0.0029884,-0.0018900,-0.0320597
1.3450000,1.3450000,1.3450000,-0.0025062,-0.0009211,-0.1488819,-0.0025062,-0.8274502,-0.5790213,-0.0005966,-0.0042866,-0.2195258,-0.1450065,-0.0029544,-0.0018685,-0.0316946
1.3475000,1.3475000,1.3475000,-0.0024777,-0.0009178,-0.1480399,-0.0024777,-0.8210822,-0.5748163,-0.0005898,-0.0042379,-0.2178827,-0.1438373,-0.0029208,-0.0018473,-0.0313343
1.3500000,1.3500000,1.3500000,-0.0024496,-0.0009146,-0.1472044,-0.0024496,-0.8147768,-0.5706474,-0.0005831,-0.0041899,-0.2162557,-0.1426791,-0.0028877,-0.0018263,-0.0309788
1.3525000,1.3525000,1.3525000,-0.0024219,-0.0009114,-0.1463751,-0.0024219,-0.8085334,-0.5665144,-0.0005765,-0.0041424,-0.2146446,-0.1415318,-0.0028550,-0.0018057,-0.0306281
1.3550000,1.3550000,1.3550000,-0.0023945,-0.0009082,-0.1455521,-0.0023945,-0.8023511,-0.5624169,-0.0005700,-0.0040956,-0.2130494,-0.1403953,-0.0028227,-0.0017853,-0.0302820
1.3575000,1.3575000,1.3575000,-0.0023675,-0.0009050,-0.1447352,-0.0023675,-0.7962293,-0.5583544,-0.0005636,-0.0040494,-0.2114697,-0.1392696,-0.0027909,-0.0017651,-0.0299404
1.3600000,1.3600000,1.3600000,-0.0023409,-0.0009018,-0.1439245,-0.0023409,-0.7901672,-0.5543268,-0.0005573,-0.0040039,-0.2099055,-0.1381544,-0.0027595,-0.0017453,-0.0296034
1.3625000,1.3625000,1.3625000,-0.0023146,-0.0008987,-0.1431199,-0.0023146,-0.7841642,-0.5503335,-0.0005510,-0.0039589,-0.2083565,-0.1370497,-0.0027285,-0.0017257,-0.0292708
1.3650000,1.3650000,1.3650000,-0.0022886,-0.0008955,-0.1423213,-0.0022886,-0.7782196,-0.5463744,-0.0005448,-0.0039145,-0.2068225,-0.1359553,-0.0026979,-0.0017063,-0.0289426
1.3675000,1.3675000,1.3675000,-0.0022630,-0.0008924,-0.1415287,-0.0022630,-0.7723326,-0.5424490,-0.0005387,-0.0038707,-0.2053034,-0.1348711,-0.0026677,-0.0016872,-0.0286186
1.3700000,1.3700000,1.3700000,-0.0022377,-0.0008893,-0.1407419,-0.0022377,-0.7665027,-0.5385570,-0.0005327,-0.0038274,-0.2037990,-0.1337971,-0.0026379,-0.0016684,-0.0282989
1.3725000,1.3725000,1.3725000,-0.0022128,-0.0008862,-0.1399610,-0.0022128,-0.7607291,-0.5346980,-0.0005268,-0.0037848,-0.2023091,-0.1327331,-0.0026085,-0.0016498,-0.0279834
1.3750000,1.3750000,1.3750000,-0.0021882,-0.0008831,-0.1391859,-0.0021882,-0.7550112,-0.5308719,-0.0005209,-0.0037427,-0.2008336,-0.1316790,-0.0025795,-0.0016314,-0.0276720
1.3775000,1.3775000,1.3775000,-0.0021639,-0.0008801,-0.1384165,-0.0021639,-0.7493483,-0.5270781,-0.0005151,-0.0037011,-0.1993722,-0.1306347,-0.0025509,-0.0016133,-0.0273646
1.3800000,1.3800000,1.3800000,-0.0021399,-0.0008770,-0.1376529,-0.0021399,-0.7437398,-0.5233165,-0.0005094,-0.0036601,-0.1979248,-0.1296000,-0.0025226,-0.0015954,-0.0270613
1.3825000,1.3825000,1.3825000,-0.0021162,-0.0008740,-0.1368948,-0.0021162,-0.7381852,-0.5195866,-0.0005038,-0.0036196,-0.1964912,-0.1285750,-0.0024947,-0.0015778,-0.0267618
1.3850000,1.3850000,1.3850000,-0.0020928,-0.0008710,-0.1361423,-0.0020928,-0.7326837,-0.5158883,-0.0004982,-0.0035796,-0.1950714,-0.1275594,-0.0024671,-0.0015603,-0.0264662
1.3875000,1.3875000,1.3875000,-0.0020698,-0.0008680,-0.1353954,-0.0020698,-0.7272347,-0.5122211,-0.0004928,-0.0035401,-0.1936650,-0.1265532,-0.0024399,-0.0015432,-0.0261745
1.3900000,1.3900000,1.3900000,-0.0020470,-0.0008650,-0.1346539,-0.0020470,-0.7218377,-0.5085848,-0.0004873,-0.0035012,-0.1922720,-0.1255563,-0.0024131,-0.0015262,-0.0258865
1.3925000,1.3925000,1.3925000,-0.0020245,-0.0008621,-0.1339179,-0.0020245,-0.7164920,-0.5049790,-0.0004820,-0.0034627,-0.1908922,-0.1245686,-0.0023866,-0.0015094,-0.0256022
1.3950000,1.3950000,1.3950000,-0.0020024,-0.0008591,-0.1331873,-0.0020024,-0.7111971,-0.5014036,-0.0004767,-0.0034248,-0.1895254,-0.1235900,-0.0023605,-0.0014929,-0.0253215
1.3975000,1.3975000,1.3975000,-0.0019804,-0.0008562,-0.1324620,-0.0019804,-0.7059524,-0.4978581,-0.0004715,-0.0033873,-0.1881716,-0.1226203,-0.0023346,-0.0014765,-0.0250445
1.4000000,1.4000000,1.4000000,-0.0019588,-0.0008533,-0.1317419,-0.0019588,-0.7007573,-0.4943422,-0.0004664,-0.0033503,-0.1868305,-0.1216595,-0.0023091,-0.0014604,-0.0247710
1.4025000,1.4025000,1.4025000,-0.0019375,-0.0008504,-0.1310271,-0.0019375,-0.6956112,-0.4908558,-0.0004613,-0.0033138,-0.1855019,-0.1207075,-0.0022840,-0.0014445,-0.0245010
1.4050000,1.4050000,1.4050000,-0.0019164,-0.0008475,-0.1303175,-0.0019164,-0.6905136,-0.4873985,-0.0004563,-0.0032778,-0.1841859,-0.1197642,-0.0022591,-0.0014288,-0.0242344
1.4075000,1.4075000,1.4075000,-0.0018956,-0.0008446,-0.1296130,-0.0018956,-0.6854639,-0.4839700,-0.0004513,-0.0032422,-0.1828821,-0.1188295,-0.0022346,-0.0014133,-0.0239712
1.4100000,1.4100000,1.4100000,-0.0018750,-0.0008417,-0.1289136,-0.0018750,-0.6804617,-0.4805701,-0.0004464,-0.0032070,-0.1815905,-0.1179034,-0.0022104,-0.0013980,-0.0237113
1.4125000,1.4125000,1.4125000,-0.0018548,-0.0008389,-0.1282193,-0.0018548,-0.6755063,-0.4771985,-0.0004416,-0.0031723,-0.1803110,-0.1169856,-0.0021865,-0.0013828,-0.0234548
1.4150000,1.4150000,1.4150000,-0.0018347,-0.0008361,-0.1275299,-0.0018347,-0.6705972,-0.4738548,-0.0004368,-0.0031381,-0.1790433,-0.1160762,-0.0021629,-0.0013679,-0.0232015
1.4175000,1.4175000,1.4175000,-0.0018150,-0.0008333,-0.1268455,-0.0018150,-0.6657340,-0.4705389,-0.0004321,-0.0031042,-0.1777874,-0.1151750,-0.0021395,-0.0013532,-0.0229513
1.4200000,1.4200000,1.4200000,-0.0017954,-0.0008305,-0.1261661,-0.0017954,-0.6609160,-0.4672504,-0.0004275,-0.0030708,-0.1765431,-0.1142820,-0.0021165,-0.0013386,-0.0227044
1.4225000,1.4225000,1.4225000,-0.0017762,-0.0008277,-0.1254914,-0.0017762,-0.6561428,-0.4639892,-0.0004229,-0.0030379,-0.1753103,-0.1133971,-0.0020938,-0.0013242,-0.0224605
1.4250000,1.4250000,1.4250000,-0.0017571,-0.0008249,-0.1248216,-0.0017571,-0.6514139,-0.4607548,-0.0004184,-0.0030053,-0.1740888,-0.1125201,-0.0020714,-0.0013100,-0.0222197
1.4275000,1.4275000,1.4275000,-0.0017383,-0.0008221,-0.1241566,-0.0017383,-0.6467288,-0.4575472,-0.0004139,-0.0029731,-0.1728786,-0.1116511,-0.0020492,-0.0012960,-0.0219819
1.4300000,1.4300000,1.4300000,-0.0017198,-0.0008194,-0.1234963,-0.0017198,-0.6420870,-0.4543660,-0.0004095,-0.0029414,-0.1716795,-0.1107899,-0.0020273,-0.0012822,-0.0217471
1.4325000,1.4325000,1.4325000,-0.0017014,-0.0008167,-0.1228408,-0.0017014,-0.6374880,-0.4512110,-0.0004051,-0.0029100,-0.1704913,-0.1099364,-0.0020057,-0.0012685,-0.0215152
1.4350000,1.4350000,1.4350000,-0.0016833,-0.0008139,-0.1221898,-0.0016833,-0.6329313,-0.4480818,-0.0004008,-0.0028791,-0.1693140,-0.1090905,-0.0019844,-0.0012550,-0.0212862
