# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.5125000,0.5125000,0.5125000,-0.0621066,-3.7523525,-9.9732274,-0.0621066,-687.6131221,431.7868870,-0.8075715,0.9549793,-326.6384987,216.6895084,-0.3670843,0.3300538,-17.8077804,-2.8677131,-699.4934753,419.4935250,-1.9478141,-3.5225020,-338.5697510,207.0165296,-3.3805714,-2.1380611,-26.2501561
0.5150000,0.5150000,0.5150000,-0.1428877,-3.7371574,-9.9028242,-0.1428877,-684.3381739,429.6650723,-0.8158311,0.8350285,-326.3387804,215.7640877,-0.4455453,0.2470618,-17.7148983,-2.8148534,-696.1732055,417.4071093,-1.9112692,-3.5241028,-338.2639678,206.2543059,-3.3182584,-2.0986509,-26.2481270
0.5175000,0.5175000,0.5175000,-0.2212315,-3.7220452,-9.8283506,-0.2212315,-680.9944195,427.6021952,-0.8215524,0.7182216,-325.8581523,214.8660273,-0.5215283,0.1665009,-17.6022684,-2.7613775,-692.7734332,415.4175339,-1.8727184,-3.5180935,-337.7748980,205.5120134,-3.2552190,-2.0587813,-26.1908244
0.5200000,0.5200000,0.5200000,-0.2971967,-3.7070651,-9.7500318,-0.2971967,-677.5950568,425.5896313,-0.8249075,0.6045264,-325.2192761,213.9935788,-0.5951106,0.0883901,-17.4740101,-2.7711215,-689.3072727,413.5145011,-1.8326060,-3.5053221,-337.1240885,204.7875346,-3.2667056,-2.0660460,-26.0844432
0.5225000,0.5225000,0.5225000,-0.3708146,-3.6922716,-9.6680901,-0.3708146,-674.1600242,423.6202633,-0.8261185,0.4939328,-324.4427359,213.1449868,-0.6663610,0.0127888,-17.3345333,-2.7786160,-685.7863806,411.6889081,-1.7913182,-3.4865578,-336.3307710,204.0790064,-3.2755404,-2.0716336,-25.9346003
0.5250000,0.5250000,0.5250000,-0.4420763,-3.6777182,-9.5827477,-0.4420763,-670.7444834,421.6889343,-0.8254257,0.3864469,-323.5470500,212.3185352,-0.7353220,-0.0602077,-17.1882788,-2.7781882,-682.2211148,409.9327011,-1.7491901,-3.4624978,-335.4121123,203.2270197,-3.2750361,-2.0713147,-25.7463876
0.5275000,0.5275000,0.5275000,-0.5109264,-3.6634524,-9.4942284,-0.5109264,-667.4975603,419.7925073,-0.8230575,0.2820794,-322.5486427,211.5125775,-0.8019955,-0.1304831,-17.0394458,-2.7707884,-678.6206742,408.2387491,-1.7065116,-3.4337741,-334.3834375,202.3971780,-3.2663128,-2.0657976,-25.5244188
0.5300000,0.5300000,0.5300000,-0.5772663,-3.6495102,-9.4027579,-0.5772663,-664.6628023,417.9296099,-0.8192118,0.1808350,-321.4618273,210.7255496,-0.8663330,-0.1979195,-16.8917165,-2.7572705,-674.9932250,406.6007329,-1.6635326,-3.4009593,-333.2584279,201.5915734,-3.2503775,-2.0557192,-25.2728734
0.5325000,0.5325000,0.5325000,-0.6409679,-3.6359132,-9.3085612,-0.6409679,-662.3360218,416.1001760,-0.8140506,0.0827015,-320.2988637,209.9559652,-0.9282372,-0.2624190,-16.7480021,-2.7384022,-672.9673385,405.0130489,-1.6204683,-3.3645720,-332.0492977,200.8080195,-3.2281347,-2.0416517,-24.9955355
0.5350000,0.5350000,0.5350000,-0.7018960,-3.6226675,-9.2118612,-0.7018960,-660.2930845,414.3049179,-0.8077080,-0.0123564,-319.0701715,209.2023929,-0.9875745,-0.3239183,-16.6102554,-2.7148726,-671.5743593,403.4707242,-1.5775029,-3.3250815,-330.7669516,200.0445488,-3.2003972,-2.0241089,-24.6958296
0.5375000,0.5375000,0.5375000,-0.7599318,-3.6097626,-9.1128776,-0.7599318,-658.2517463,412.5448383,-0.8003002,-0.1043987,-317.7848236,208.4634183,-1.0441973,-0.3823946,-16.4793972,-2.6873008,-669.8242266,401.9693423,-1.5638818,-3.2829125,-329.4211245,199.2993911,-3.1678944,-2.0035523,-24.3768532
0.5400000,0.5400000,0.5400000,-0.8149914,-3.5971730,-9.0118272,-0.8149914,-656.0639710,410.8208562,-0.7919318,-0.1935068,-316.4515052,207.7376001,-1.0979692,-0.4378616,-16.3553932,-2.6562418,-667.7693606,400.5049788,-1.5501633,-3.2384490,-328.0205068,198.5709532,-3.1312809,-1.9803959,-24.0414062
0.5425000,0.5425000,0.5425000,-0.8670356,-3.5848580,-8.9089259,-0.8670356,-653.6861334,409.1335683,-0.7826955,-0.2797753,-315.0800507,207.0234376,-1.1487881,-0.4903577,-16.2374776,-2.6221935,-665.4551755,399.0741436,-1.5322021,-3.1920379,-326.5728552,197.8426539,-3.0911435,-1.9550108,-23.6920177
0.5450000,0.5450000,0.5450000,-0.9160674,-3.5727642,-8.8043899,-0.9160674,-651.1208366,407.4831342,-0.7726694,-0.3632998,-313.6833272,206.3193659,-1.1965985,-0.5399306,-16.1244760,-2.5856021,-662.9210355,397.6737313,-1.5107242,-3.1439925,-325.0850924,197.1276097,-3.0480081,-1.9277296,-23.3309703
0.5475000,0.5475000,0.5475000,-0.9621204,-3.5608278,-8.6984370,-0.9621204,-648.3869894,405.8692562,-0.7619159,-0.4441620,-312.2785750,205.6237918,-1.2413916,-0.5866233,-16.0151450,-2.5468670,-660.2010756,396.2337490,-1.4863584,-3.0945953,-323.5633954,196.4293255,-3.0023457,-1.8988501,-22.9603226
0.5500000,0.5500000,0.5500000,-1.0052426,-3.5489792,-8.5912871,-1.0052426,-645.5077582,404.2912191,-0.7504839,-0.5224156,-310.8867240,204.9351694,-1.2831958,-0.6304632,-15.9084440,-2.5063456,-657.3249074,394.5730923,-1.4596496,-3.0441009,-322.0132743,195.7462547,-2.9545774,-1.8686388,-22.5819292
0.5525000,0.5525000,0.5525000,-1.0454800,-3.5371488,-8.4831610,-1.0454800,-642.5059677,402.7479615,-0.7384145,-0.5980757,-309.5285008,204.2521022,-1.3220593,-0.6714574,-15.8036817,-2.4667207,-654.3182256,392.9614674,-1.4310690,-2.9927388,-320.4396431,195.0770133,-2.9078661,-1.8390960,-22.1974590
0.5550000,0.5550000,0.5550000,-1.0828638,-3.5252727,-8.3742790,-1.0828638,-639.4023964,401.2381572,-0.7257473,-0.6711151,-308.2180973,203.5734450,-1.3580320,-0.7095937,-15.7005221,-2.4566684,-651.2033311,391.3947514,-1.4010235,-2.9407149,-318.8468824,194.4203626,-2.8960160,-1.8316013,-21.8855185
0.5575000,0.5575000,0.5575000,-1.1174040,-3.5132989,-8.2648582,-1.1174040,-636.2152523,399.7602950,-0.7125257,-0.7414702,-306.9578962,202.8983808,-1.3911511,-0.7448469,-15.5988838,-2.4416190,-647.9995820,389.8692120,-1.3698642,-2.9432063,-317.2388952,193.7751940,-2.8782752,-1.8203811,-21.9282489
0.5600000,0.5600000,0.5600000,-1.1490890,-3.5011906,-8.1551106,-1.1490890,-632.9601781,398.3127465,-0.6988005,-0.8090532,-305.7380458,202.2264538,-1.4214320,-0.7771891,-15.4987887,-2.4222078,-644.7237818,388.3814697,-1.3378932,-2.9433834,-315.6191579,193.1405152,-2.8553926,-1.8059088,-21.9179987
0.5625000,0.5625000,0.5625000,-1.1778914,-3.4889283,-8.0452400,-1.1778914,-629.6505036,396.8938188,-0.6846306,-0.8737691,-304.5411125,201.5575541,-1.4488667,-0.8066020,-15.4002267,-2.3990053,-641.3905158,386.9284636,-1.3053701,-2.9370888,-314.2824553,192.5154379,-2.8280406,-1.7886099,-21.8607484
0.5650000,0.5650000,0.5650000,-1.2037784,-3.4765095,-7.9354402,-1.2037784,-626.2975951,395.5017901,-0.6700820,-0.9355326,-303.3483478,200.8918604,-1.4734283,-0.8330883,-15.3030818,-2.3764154,-638.0124413,385.5074207,-1.2746034,-2.9250634,-313.4583121,191.8991672,-2.8014107,-1.7717677,-21.7619095
0.5675000,0.5675000,0.5675000,-1.2267250,-3.4639457,-7.8258933,-1.2267250,-622.9112118,394.1349276,-0.6552258,-0.9942787,-302.1441330,200.2297582,-1.4950812,-0.8566799,-15.2071413,-2.4073467,-634.6005383,384.1158279,-1.2487645,-2.9079774,-312.5158188,191.2909912,-2.8378737,-1.7948289,-21.6263773
0.5700000,0.5700000,0.5700000,-1.2467259,-3.4512595,-7.7167682,-1.2467259,-619.4998178,392.7914919,-0.6401353,-1.0499678,-300.9176425,199.5717497,-1.5137942,-0.8774408,-15.1121727,-2.4281204,-631.1643278,382.7514076,-1.2216916,-2.8864372,-311.4716273,190.6902730,-2.8623626,-1.8103170,-21.4585787
0.5725000,0.5725000,0.5725000,-1.2638054,-3.4384796,-7.6082201,-1.2638054,-616.0708299,391.4697352,-0.6248838,-1.1025826,-299.6625846,198.9183722,-1.5295536,-0.8954647,-15.0180338,-2.4399330,-627.7120597,381.4120946,-1.1936933,-2.8609909,-310.3403164,190.0964422,-2.8762877,-1.8191240,-21.2625150
0.5750000,0.5750000,0.5750000,-1.2780215,-3.4256372,-7.5003897,-1.2780215,-612.6308013,390.1679013,-0.6095421,-1.1521218,-298.3761672,198.2701323,-1.5423748,-0.9108682,-14.9247624,-2.4438568,-624.2508766,380.0960161,-1.1650346,-2.8321337,-309.1346538,189.5089884,-2.8809132,-1.8220495,-21.0418016
0.5775000,0.5775000,0.5775000,-1.2894641,-3.4127617,-7.3934037,-1.2894641,-609.1855520,388.8842381,-0.5941766,-1.1985904,-297.0580117,197.6274611,-1.5523072,-0.9237832,-14.8326021,-2.4408528,-620.7869554,378.8014731,-1.1359429,-2.8003132,-307.8658249,188.9274547,-2.8773720,-1.8198098,-20.7997034
0.5800000,0.5800000,0.5800000,-1.2982499,-3.3998785,-7.2873746,-1.2982499,-605.7402609,387.6170246,-0.5788484,-1.2419926,-295.7092908,196.9906884,-1.5594349,-0.9343484,-14.7419380,-2.4317820,-617.3256312,377.5269241,-1.1066125,-2.7659332,-306.5436305,188.3514321,-2.8666790,-1.8130470,-20.5391672
0.5825000,0.5825000,0.5825000,-1.3045133,-3.3870072,-7.1824016,-1.3045133,-602.2995325,386.3646148,-0.5636125,-1.2823264,-294.3321262,196.3600327,-1.5638710,-0.9427039,-14.6531526,-2.4174153,-613.8715043,376.2709702,-1.0772090,-2.7293582,-305.1766598,187.7764896,-2.8497430,-1.8023357,-20.2628509
0.5850000,0.5850000,0.5850000,-1.3083986,-3.3741606,-7.0785708,-1.3083986,-598.8674482,385.1254891,-0.5485174,-1.3195826,-292.9291901,195.7356015,-1.5657501,-0.9489869,-14.5664389,-2.3984430,-610.4285333,375.0323413,-1.0478727,-2.6909167,-303.7724406,187.2002683,-2.8273777,-1.7881907,-19.9731502
0.5875000,0.5875000,0.5875000,-1.3100533,-3.3613456,-6.9759567,-1.3100533,-595.4476094,383.8983061,-0.5336051,-1.3537471,-291.5034460,195.1174010,-1.5652192,-0.9533294,-14.4816294,-2.3754828,-607.0001166,373.8098840,-1.0187224,-2.6509049,-302.3375705,186.6283169,-2.8003113,-1.7710724,-19.6722227
0.5900000,0.5900000,0.5900000,-1.3096232,-3.3485635,-6.8746224,-1.3096232,-592.0431763,382.6819413,-0.5189113,-1.3848069,-290.0579781,194.5053499,-1.5624306,-0.9558559,-14.3980963,-2.3490870,-603.5891633,372.6025508,-0.9898575,-2.6095890,-300.8778314,186.0604382,-2.7691949,-1.7513926,-19.3620097
0.5925000,0.5925000,0.5925000,-1.3072492,-3.3358116,-6.7746208,-1.3072492,-588.6569044,381.4755083,-0.5044661,-1.4127568,-288.5958756,193.8992981,-1.5575362,-0.9566826,-14.3147569,-2.3197493,-600.1981549,371.4093899,-0.9613611,-2.5803615,-299.3982888,185.4964543,-2.7346105,-1.7295195,-19.1942025
0.5950000,0.5950000,0.5950000,-1.3030650,-3.3230853,-6.6759955,-1.3030650,-585.2911797,380.2783577,-0.4902939,-1.4376068,-287.1201537,193.2990473,-1.5506839,-0.9559165,-14.2301860,-2.2879108,-596.8291992,370.2295365,-0.9333016,-2.5628924,-297.9033798,184.9362050,-2.6970781,-1.7057819,-19.0572379
0.5975000,0.5975000,0.5975000,-1.2971955,-3.3103793,-6.5787816,-1.2971955,-581.9480527,379.0900562,-0.4764145,-1.4593874,-285.6336994,192.7043712,-1.5420145,-0.9536560,-14.1428070,-2.2539652,-593.4840773,369.0622041,-0.9057353,-2.5417835,-296.3969892,184.3795457,-2.6570617,-1.6804734,-18.8939190
