# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.6775000,0.6775000,0.6775000,-0.1428489,-0.0028891,-1.0028681,-0.1428489,-8.5672388,-19.2043322,-0.0356609,-0.2375801,-3.2913492,-6.7237423,-0.1684291,-0.1064731,-1.7765367
0.6800000,0.6800000,0.6800000,-0.1395891,-0.0028546,-0.9913152,-0.1395891,-8.4571801,-18.9551581,-0.0348260,-0.2322976,-3.2466126,-6.6195119,-0.1645844,-0.1040443,-1.7364385
0.6825000,0.6825000,0.6825000,-0.1364138,-0.0028206,-0.9799400,-0.1364138,-8.3493398,-18.7099410,-0.0340139,-0.2271446,-3.2027481,-6.5171903,-0.1608395,-0.1016785,-1.6973508
0.6850000,0.6850000,0.6850000,-0.1333208,-0.0027871,-0.9687392,-0.1333208,-8.2436573,-18.4686054,-0.0332239,-0.2221179,-3.1597321,-6.4167378,-0.1571916,-0.0993739,-1.6592480
0.6875000,0.6875000,0.6875000,-0.1303076,-0.0027543,-0.9577093,-0.1303076,-8.1400738,-18.2310772,-0.0324553,-0.2172144,-3.1175418,-6.3181158,-0.1536381,-0.0971288,-1.6221046
0.6900000,0.6900000,0.6900000,-0.1273721,-0.0027219,-0.9468472,-0.1273721,-8.0385324,-17.9972844,-0.0317074,-0.2124312,-3.0761553,-6.2212862,-0.1501762,-0.0949416,-1.5858958
0.6925000,0.6925000,0.6925000,-0.1245122,-0.0026901,-0.9361497,-0.1245122,-7.9389780,-17.7671561,-0.0309797,-0.2077651,-3.0355512,-6.1262120,-0.1468033,-0.0928105,-1.5505973
0.6950000,0.6950000,0.6950000,-0.1217255,-0.0026588,-0.9256136,-0.1217255,-7.8413571,-17.5406234,-0.0302714,-0.2032133,-2.9957090,-6.0328571,-0.1435170,-0.0907341,-1.5161852
0.6975000,0.6975000,0.6975000,-0.1190102,-0.0026280,-0.9152360,-0.1190102,-7.7456182,-17.3176185,-0.0295821,-0.1987728,-2.9566087,-5.9411860,-0.1403149,-0.0887108,-1.4826362
0.7000000,0.7000000,0.7000000,-0.1163643,-0.0025977,-0.9050140,-0.1163643,-7.6517111,-17.0980755,-0.0289111,-0.1944408,-2.9182310,-5.8511644,-0.1371946,-0.0867390,-1.4499275
0.7025000,0.7025000,0.7025000,-0.1137857,-0.0025679,-0.8949445,-0.1137857,-7.5595873,-16.8819295,-0.0282578,-0.1902147,-2.8805573,-5.7627584,-0.1341537,-0.0848175,-1.4180368
0.7050000,0.7050000,0.7050000,-0.1112726,-0.0025386,-0.8850247,-0.1112726,-7.4691998,-16.6691173,-0.0276218,-0.1860917,-2.8435697,-5.6759350,-0.1311901,-0.0829448,-1.3869424
