# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.5475000,0.5475000,0.5475000,-0.7532084,-0.0040034,-3.1089643,-0.7532084,-33.9626723,-42.7533055,-0.2476292,-0.9309467,-14.3766062,-17.3089281,-0.8893738,-0.5602381,-8.2654953,-1.1387079,-43.2431876,-54.1020753,-0.7253987,-1.5106839,-22.0394664,-27.1631561,-1.3423531,-0.8489786,-11.2251091
0.5500000,0.5500000,0.5500000,-0.7452937,-0.0041780,-3.0629572,-0.7452937,-33.5347689,-42.1172213,-0.2402148,-0.9296248,-14.1698244,-17.0131768,-0.8798479,-0.5545200,-8.1382613,-1.1211680,-42.7937856,-53.4388978,-0.7033537,-1.4919915,-21.8046913,-26.8134299,-1.3216764,-0.8359015,-11.0829423
0.5525000,0.5525000,0.5525000,-0.7365915,-0.0043365,-3.0177337,-0.7365915,-33.1139083,-41.4912597,-0.2330247,-0.9279691,-13.9667099,-16.7238886,-0.8694782,-0.5481351,-8.0097697,-1.1027738,-42.3513827,-52.7850433,-0.6816494,-1.4718203,-21.5736382,-26.4701910,-1.2999925,-0.8221875,-10.9301418
0.5550000,0.5550000,0.5550000,-0.7271638,-0.0044794,-2.9732907,-0.7271638,-32.6999488,-40.8755300,-0.2260555,-0.9258844,-13.7671871,-16.4409238,-0.8583150,-0.5411518,-7.8805406,-1.0912350,-41.9158383,-52.1406474,-0.6603359,-1.4504002,-21.3462357,-26.1333305,-1.2863902,-0.8135846,-10.7683834
0.5575000,0.5575000,0.5575000,-0.7170794,-0.0046073,-2.9296234,-0.7170794,-32.2927516,-40.2700983,-0.2193032,-0.9232756,-13.5711821,-16.1641414,-0.8464211,-0.5336393,-7.7512191,-1.1076607,-41.4870149,-51.5058031,-0.6394534,-1.4279367,-21.1224136,-25.8027359,-1.3057534,-0.8258310,-10.5991641
0.5600000,0.5600000,0.5600000,-0.7064112,-0.0047210,-2.8867255,-0.7064112,-31.8921813,-39.6749931,-0.2127634,-0.9200543,-13.3786226,-15.8934003,-0.8338673,-0.5256659,-7.6225579,-1.1186805,-41.0647782,-50.8805669,-0.6190334,-1.4046132,-20.9021027,-25.4782922,-1.3187440,-0.8340469,-10.4238201
0.5625000,0.5625000,0.5625000,-0.6952333,-0.0048213,-2.8445896,-0.6952333,-31.4981054,-39.0902102,-0.2064312,-0.9161447,-13.1894377,-15.6285598,-0.8207296,-0.5172975,-7.4953784,-1.1249717,-40.6489969,-50.2649632,-0.5991001,-1.3805934,-20.6852350,-25.1598828,-1.3261603,-0.8387374,-10.2435427
0.5650000,0.5650000,0.5650000,-0.6836195,-0.0049091,-2.8032073,-0.6836195,-31.1103941,-38.5157175,-0.2003015,-0.9114871,-13.0035585,-15.3694799,-0.8070861,-0.5085972,-7.3705176,-1.1271363,-40.2395425,-49.6589889,-0.5796714,-1.3560230,-20.4717437,-24.8473898,-1.3287120,-0.8403512,-10.0593929
0.5675000,0.5675000,0.5675000,-0.6716413,-0.0049852,-2.7625692,-0.6716413,-30.7289208,-37.9514582,-0.1943690,-0.9060402,-12.8209173,-15.1160223,-0.7930145,-0.4996241,-7.2487704,-1.1257088,-39.8362896,-49.0626170,-0.5607598,-1.3310318,-20.2615632,-24.5406947,-1.3270292,-0.8392870,-9.8723141
0.5700000,0.5700000,0.5700000,-0.6593670,-0.0050506,-2.7226653,-0.6593670,-30.3535615,-37.3973551,-0.1886284,-0.8997812,-12.6414481,-14.8680498,-0.7785909,-0.4904330,-7.1308338,-1.1211644,-39.4391156,-48.4757999,-0.5423734,-1.3057349,-20.0546292,-24.2396790,-1.3216721,-0.8358988,-9.6831444
