# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.1700000,0.1700000,0.1700000,inf,nan,4800.9619563,6142.8606256,3885.9868729,24844.9500419,363.4557854,17454.7062204,316952.5833647,3295145.7126336,23425787.3901669
0.1725000,0.1725000,0.1725000,inf,nan,3984.1902383,5376.3896144,3392.9639860,21797.8635191,316.0492685,15308.9389538,279201.5220118,2910936.8345307,20471142.5081753
0.1750000,0.1750000,0.1750000,inf,nan,3319.5906118,4710.7163857,2965.2312691,19147.0262414,273.8411722,13442.4996621,246240.7672631,2574530.4740688,17915559.4967602
0.1775000,0.1775000,0.1775000,inf,nan,2776.1532659,4131.8586641,2593.6983704,16837.8893304,237.3650758,11816.9130293,217423.1745128,2261030.4890935,15701769.5085354
0.1800000,0.1800000,0.1800000,inf,nan,2329.7322163,3627.8754749,2270.6046562,14823.8319644,205.8132284,10399.2974360,192194.5653152,1982070.4461448,13781174.4693519
0.1825000,0.1825000,0.1825000,inf,nan,1961.4073282,3188.5548573,1989.3156411,13064.9504598,193.5740329,9161.5104965,170079.5842246,1739941.8344536,12112471.4870963
0.1850000,0.1850000,0.1850000,inf,nan,1656.2648332,2805.1513156,1744.1518350,11527.0403360,169.9295256,8079.4307646,150669.8146048,1529479.1349566,10660504.3440164
0.1875000,0.1875000,0.1875000,inf,nan,1398.1186942,2470.1648304,1530.2446802,10180.7395682,149.4118720,7132.3531772,132930.7788089,1346281.2801210,9395303.3417660
0.1900000,0.1900000,0.1900000,inf,nan,1155.9122352,2177.1546237,1343.4151458,9000.8065981,131.5942702,6302.4795867,116959.3562369,1186592.9997664,8291281.5460897
0.1925000,0.1925000,0.1925000,inf,nan,959.5791195,1920.5820194,1180.0712905,7965.5111127,116.1070100,5574.4888685,103037.7970118,1047205.3664220,7326561.0466958
0.1950000,0.1950000,0.1950000,1710.9350427,-0.2488283,799.5643533,1695.6776820,1037.1217228,7056.1192876,102.6297681,4935.1736894,90886.8544533,925372.3216577,6482407.4259649
0.1975000,0.1975000,0.1975000,1513.5866674,-0.2414508,668.4797994,1498.3293067,911.9023973,6256.4582499,90.8851710,4373.1331783,80267.4139742,818740.5202799,5742754.3965104
0.2000000,0.2000000,0.2000000,1340.2438427,-0.2343136,560.5749459,1324.9864819,802.1146111,5552.5470480,80.6339396,3878.5125322,70974.4413051,725290.2866532,5093803.6684347
0.2025000,0.2025000,0.2025000,1187.8373519,-0.2274094,471.3455994,1172.5799916,705.7724175,4932.2835269,71.6710863,3442.7820729,62831.8834137,643285.8543160,4523687.6620327
0.2050000,0.2050000,0.2050000,1053.7106007,-0.2207310,397.2424385,1038.4532695,621.1579668,4385.1782520,63.8222957,3058.5495085,55688.3663534,571233.3709246,4022184.7885315
0.2075000,0.2075000,0.2075000,935.5604854,-0.2142811,335.4524177,920.3040978,546.7835281,3887.5868860,56.9399019,2711.0245583,49413.5605858,507845.4071768,3580478.7603239
0.2100000,0.2100000,0.2100000,831.3766499,-0.2081921,283.7337077,816.1349477,481.3591495,3442.0377461,50.8984962,2397.8452348,43895.1060649,452010.9204073,3190954.8286211
0.2125000,0.2125000,0.2125000,739.3306081,-0.2034254,240.2902542,724.2106244,423.7650814,3050.6931821,45.5906725,2122.8501157,39036.0073567,402769.7989115,2847027.0342512
0.2150000,0.2150000,0.2150000,657.5946920,-0.2025632,203.6758541,643.0220904,373.0282299,2706.5727284,40.9234515,1881.1179221,34752.4239662,359291.2582454,2542991.5404644
