# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
1.0125000,1.0125000,1.0125000,-0.0185687,0.9837178,-0.4478135,-0.0185687,133.9241668,-142.2467448,-0.0044270,-0.0317333,67.5307886,-70.0400962,-0.0218898,-0.0138438,-0.2348214,-0.0278341,130.2045168,-148.2462160,-0.0065797,-0.0476520,65.0919954,-74.1196107,-0.0328119,-0.0207521,-0.3522939
1.0150000,1.0150000,1.0150000,-0.0182821,0.9813143,-0.4443966,-0.0182821,133.6117909,-141.8606481,-0.0043587,-0.0312438,67.3713396,-69.8553079,-0.0215519,-0.0136302,-0.2311936,-0.0273532,129.9067249,-147.8430181,-0.0064660,-0.0468302,64.9432520,-73.9180672,-0.0322450,-0.0203935,-0.3462179
1.0175000,1.0175000,1.0175000,-0.0180006,0.9789225,-0.4410147,-0.0180006,133.3008226,-141.4767386,-0.0042916,-0.0307631,67.2126136,-69.6715556,-0.0212201,-0.0134203,-0.2276315,-0.0268821,129.6102556,-147.4420469,-0.0063547,-0.0460251,64.7951672,-73.7176360,-0.0316897,-0.0200423,-0.3402651
1.0200000,1.0200000,1.0200000,-0.0177242,0.9765423,-0.4376673,-0.0177242,132.9912529,-141.0949977,-0.0042258,-0.0302910,67.0546059,-69.4888303,-0.0208943,-0.0132143,-0.2241336,-0.0264206,129.3151004,-147.0432837,-0.0062456,-0.0452362,64.6477370,-73.5183077,-0.0311456,-0.0196982,-0.3344325
1.0225000,1.0225000,1.0225000,-0.0174528,0.9741735,-0.4343540,-0.0174528,132.6830728,-140.7154068,-0.0041611,-0.0298274,66.8973118,-69.3071229,-0.0205743,-0.0130119,-0.2206988,-0.0259683,129.0212509,-146.6467100,-0.0061388,-0.0444632,64.5009570,-73.3200733,-0.0306125,-0.0193610,-0.3287175
1.0250000,1.0250000,1.0250000,-0.0171862,0.9718162,-0.4310744,-0.0171862,132.3762735,-140.3379477,-0.0040976,-0.0293722,66.7407269,-69.1264244,-0.0202601,-0.0128132,-0.2173257,-0.0255252,128.7286988,-146.2523076,-0.0060341,-0.0437057,64.3548233,-73.1229235,-0.0300901,-0.0190307,-0.3231173
1.0275000,1.0275000,1.0275000,-0.0169245,0.9694703,-0.4278280,-0.0169245,132.0708461,-139.9626021,-0.0040352,-0.0289250,66.5848465,-68.9467260,-0.0199515,-0.0126180,-0.2140129,-0.0250910,128.4374358,-145.8600583,-0.0059315,-0.0429634,64.2093317,-72.9268494,-0.0295783,-0.0187070,-0.3176292
1.0300000,1.0300000,1.0300000,-0.0166673,0.9671356,-0.4246144,-0.0166673,131.7667819,-139.5893524,-0.0039740,-0.0284858,66.4296661,-68.7680188,-0.0196484,-0.0124263,-0.2107594,-0.0246656,128.1474536,-145.4699444,-0.0058310,-0.0422359,64.0644781,-72.7318420,-0.0290767,-0.0183897,-0.3122507
1.0325000,1.0325000,1.0325000,-0.0164148,0.9648120,-0.4214332,-0.0164148,131.4640722,-139.2181807,-0.0039138,-0.0280544,66.2751812,-68.5902944,-0.0193506,-0.0122381,-0.2075638,-0.0242486,127.8587442,-145.0819481,-0.0057325,-0.0415229,63.9202585,-72.5378926,-0.0285852,-0.0180788,-0.3069793
1.0350000,1.0350000,1.0350000,-0.0161668,0.9624996,-0.4182840,-0.0161668,131.1627085,-138.8490697,-0.0038547,-0.0276307,66.1213875,-68.4135440,-0.0190582,-0.0120531,-0.2044249,-0.0238399,127.5712994,-144.6960521,-0.0056359,-0.0408241,63.7766690,-72.3449924,-0.0281034,-0.0177741,-0.3018126
