# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.9350000,0.9350000,0.9350000,-0.0123774,1.0690629,-0.2513987,-0.0123774,145.0766764,-152.5374715,-0.0030807,-0.0209844,73.1521611,-75.4118128,-0.0145910,-0.0092281,-0.1551986,-0.0155653,141.2016244,-157.7582382,-0.0039148,-0.0262513,70.5914980,-78.8771394,-0.0183490,-0.0116049,-0.1941172
0.9375000,0.9375000,0.9375000,-0.0121776,1.0662148,-0.2493680,-0.0121776,144.7077284,-152.1040943,-0.0030310,-0.0206461,72.9641465,-75.2013952,-0.0143555,-0.0090791,-0.1526956,-0.0153026,140.8411306,-157.3101324,-0.0038486,-0.0258093,70.4114083,-78.6531186,-0.0180393,-0.0114090,-0.1908486
0.9400000,0.9400000,0.9400000,-0.0119816,1.0633817,-0.2473592,-0.0119816,144.3406369,-151.6732208,-0.0029822,-0.0203141,72.7770743,-74.9921868,-0.0141245,-0.0089330,-0.1502395,-0.0150450,140.4824840,-156.8645680,-0.0037836,-0.0253760,70.2322390,-78.4303678,-0.0177356,-0.0112170,-0.1876440
0.9425000,0.9425000,0.9425000,-0.0117893,1.0605636,-0.2453719,-0.0117893,143.9753877,-151.2448294,-0.0029343,-0.0199884,72.5909374,-74.7841770,-0.0138977,-0.0087896,-0.1478294,-0.0147925,140.1256704,-156.4215234,-0.0037199,-0.0249511,70.0539832,-78.2088764,-0.0174379,-0.0110287,-0.1845018
0.9450000,0.9450000,0.9450000,-0.0116006,1.0577605,-0.2434060,-0.0116006,143.6119670,-150.8188988,-0.0028874,-0.0196687,72.4057288,-74.5773552,-0.0136753,-0.0086489,-0.1454643,-0.0145449,139.7706756,-155.9809774,-0.0036575,-0.0245344,69.8766339,-77.9886337,-0.0171461,-0.0108441,-0.1814209
0.9475000,0.9475000,0.9475000,-0.0114153,1.0549721,-0.2414610,-0.0114153,143.2503607,-150.3954080,-0.0028412,-0.0193550,72.2214419,-74.3717112,-0.0134569,-0.0085108,-0.1431432,-0.0143021,139.4174857,-155.5429088,-0.0035963,-0.0241259,69.7001842,-77.7696291,-0.0168599,-0.0106631,-0.1783997
0.9500000,0.9500000,0.9500000,-0.0112336,1.0521983,-0.2395368,-0.0112336,142.8905553,-149.9743361,-0.0027960,-0.0190471,72.0380697,-74.1672347,-0.0132426,-0.0083753,-0.1408651,-0.0140640,139.0660869,-155.1072967,-0.0035363,-0.0237252,69.5246272,-77.5518523,-0.0165792,-0.0104856,-0.1754369
0.9525000,0.9525000,0.9525000,-0.0110552,1.0494391,-0.2376330,-0.0110552,142.5325371,-149.5556626,-0.0027516,-0.0187449,71.8556055,-73.9639154,-0.0130323,-0.0082423,-0.1386293,-0.0138306,138.7164655,-154.6741206,-0.0034775,-0.0233323,69.3499561,-77.3352928,-0.0163040,-0.0103116,-0.1725314
0.9550000,0.9550000,0.9550000,-0.0108801,1.0466943,-0.2357493,-0.0108801,142.1762927,-149.1393670,-0.0027080,-0.0184482,71.6740429,-73.7617435,-0.0128259,-0.0081117,-0.1364348,-0.0136017,138.3686081,-154.2433601,-0.0034198,-0.0229470,69.1761644,-77.1199407,-0.0160342,-0.0101409,-0.1696818
0.9575000,0.9575000,0.9575000,-0.0107082,1.0439638,-0.2338856,-0.0107082,141.8218088,-148.7254293,-0.0026652,-0.0181571,71.4933750,-73.5607090,-0.0126233,-0.0079836,-0.1342806,-0.0133771,138.0225012,-153.8149949,-0.0033632,-0.0225690,69.0032452,-76.9057857,-0.0157695,-0.0099735,-0.1668869
0.9600000,0.9600000,0.9600000,-0.0105395,1.0412475,-0.2320415,-0.0105395,141.4690722,-148.3138296,-0.0026232,-0.0178712,71.3135955,-73.3608021,-0.0124244,-0.0078578,-0.1321661,-0.0131569,137.6781316,-153.3890052,-0.0033077,-0.0221983,68.8311921,-76.6928179,-0.0155099,-0.0098093,-0.1641456
