# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0950000,0.0950000,0.0950000,inf,nan,941972.4733604,151653.6285837,96292.2515921,621409.5165643,8847.6155941,436820.0407170,151532.7666145,151774.4905528,178775.1819436,113067.3528106,3203141.8574057,151653.6285837,96292.2515921,621409.5165643,8847.6155941,436820.0407170,151532.7666145,151774.4905528,178775.1819436,113067.3528106,3203141.8574057
0.0975000,0.0975000,0.0975000,inf,nan,628360.0195336,132806.0009962,84294.1382779,544230.6569089,7739.3593039,382548.8616956,132687.1182552,132924.8837371,156556.8672048,99015.2567415,2805178.6534116,132806.0009962,84294.1382779,544230.6569089,7739.3593039,382548.8616956,132687.1182552,132924.8837371,156556.8672048,99015.2567415,2805178.6534116
0.1000000,0.1000000,0.1000000,inf,nan,428296.4705865,116539.8838524,73939.6840932,477629.2579988,6783.0980574,335715.6395073,116422.9978853,116656.7698196,137381.7371466,86887.8396588,2461756.3541181,116539.8838524,73939.6840932,477629.2579988,6783.0980574,335715.6395073,116422.9978853,116656.7698196,137381.7371466,86887.8396588,2461756.3541181
0.1025000,0.1025000,0.1025000,inf,nan,297741.4884552,102458.6230300,64976.4312691,419978.4228048,5955.5144453,295176.4325839,102343.7468873,102573.4991726,120782.2004982,76389.3708763,2164486.8146722,102458.6230300,64976.4312691,419978.4228048,5955.5144453,295176.4325839,102343.7468873,102573.4991726,120782.2004982,76389.3708763,2164486.8146722
0.1050000,0.1050000,0.1050000,inf,nan,210750.9613188,90233.5053075,57195.1461903,369930.1875819,5237.2757729,259983.4166077,90120.6478535,90346.3627615,106370.7573595,67274.7739386,1906419.9330598,90233.5053075,57195.1461903,369930.1875819,5237.2757729,259983.4166077,90120.6478535,90346.3627615,106370.7573595,67274.7739386,1906419.9330598
0.1075000,0.1075000,0.1075000,inf,nan,151664.0109939,79591.0859641,50421.7599089,326363.4545948,4612.2923665,229348.2780033,79480.2521731,79701.9197552,93825.0604830,59340.1785459,1681775.2334027,79591.0859641,50421.7599089,326363.4545948,4612.2923665,229348.2780033,79480.2521731,79701.9197552,93825.0604830,59340.1785459,1681775.2334027
0.1100000,0.1100000,0.1100000,inf,nan,110812.1195921,70303.0309363,44510.9074881,288342.2623917,4067.1228191,202612.8750981,70194.2221771,70411.8396954,82875.9408146,52415.3472407,1485726.7388887,70303.0309363,44510.9074881,288342.2623917,4067.1228191,202612.8750981,70194.2221771,70411.8396954,82875.9408146,52415.3472407,1485726.7388887
0.1125000,0.1125000,0.1125000,inf,nan,82100.7071014,62177.9503463,39340.7335710,255082.2419835,3590.4956321,179225.6543025,62071.1646545,62284.7360382,73297.7805402,46357.5867884,1314230.0430262,62177.9503463,39340.7335710,255082.2419835,3590.4956321,179225.6543025,62071.1646545,62284.7360382,73297.7805402,46357.5867884,1314230.0430262
0.1150000,0.1150000,0.1150000,inf,nan,61613.0636078,55054.8134096,34808.7035246,225923.5728507,3172.9233185,158722.6359622,54950.0457462,55159.5810729,64900.7503222,41046.8385744,1163882.8877716,55054.8134096,34808.7035246,225923.5728507,3172.9233185,158722.6359622,54950.0457462,55159.5810729,64900.7503222,41046.8385744,1163882.8877716
0.1175000,0.1175000,0.1175000,inf,nan,46786.3960247,48797.6226869,30828.2154264,200309.1145088,2806.3901632,140712.0388893,48694.8651853,48900.3801884,57524.5311024,36381.7079234,1031812.4221352,48797.6226869,30828.2154264,200309.1145088,2806.3901632,140712.0388893,48694.8651853,48900.3801884,57524.5311024,36381.7079234,1031812.4221352
0.1200000,0.1200000,0.1200000,inf,nan,35915.4167731,43291.0940926,27325.8516678,177766.6708793,2484.0988327,124861.8104913,43190.3362922,43391.8518930,51033.2215274,32276.2432725,915583.7659996,43291.0940926,27325.8516678,177766.6708793,2484.0988327,124861.8104913,43190.3362922,43391.8518930,51033.2215274,32276.2432725,915583.7659996
0.1225000,0.1225000,0.1225000,inf,nan,27847.4708349,38437.1424073,24239.1428563,157894.5641232,2200.2641336,110889.4836598,38338.3714748,38535.9133399,45311.1949344,28657.3158993,813125.6348894,38437.1424073,24239.1428563,157894.5641232,2200.2641336,110889.4836598,38338.3714748,38535.9133399,45311.1949344,28657.3158993,813125.6348894
0.1250000,0.1250000,0.1250000,inf,nan,21791.9054278,34152.0137093,21514.7431824,140349.8659681,1949.9446560,98553.9020640,34055.2146480,34248.8127706,40259.7189506,25462.4819684,722669.6648285,34152.0137093,21514.7431824,140349.8659681,1949.9446560,98553.9020640,34055.2146480,34248.8127706,40259.7189506,25462.4819684,722669.6648285
0.1275000,0.1275000,0.1275000,inf,nan,17198.8505803,29648.8326006,18655.6571974,122262.9578539,1690.8788432,85837.6428485,29567.0624600,29730.6027413,34951.1943242,22105.0762015,629393.0318731,29648.8326006,18655.6571974,122262.9578539,1678.9927084,85837.6428485,29567.0624600,29730.6027413,34951.1943242,22105.0762015,629393.0318731
0.1300000,0.1300000,0.1300000,inf,nan,13680.9092248,25308.6813367,15899.4342429,104430.9168816,1439.6112134,73302.2170026,25228.4585324,25388.9041410,29834.8556047,18869.2194746,537476.2859525,25308.6813367,15899.4342429,104430.9168816,1427.7250786,73302.2170026,25228.4585324,25388.9041410,29834.8556047,18869.2194746,537476.2859525
