# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.9450000,0.9450000,0.9450000,-0.0214516,-0.0007893,-0.4219564,-0.0214516,-3.9309177,-3.3012920,-0.0050946,-0.0367039,-1.0985632,-0.9865865,-0.0252884,-0.0159931,-0.2716249
0.9475000,0.9475000,0.9475000,-0.0210980,-0.0007836,-0.4185111,-0.0210980,-3.8910876,-3.2698553,-0.0050105,-0.0360999,-1.0861939,-0.9763756,-0.0248716,-0.0157296,-0.2671475
0.9500000,0.9500000,0.9500000,-0.0207513,-0.0007779,-0.4151036,-0.0207513,-3.8517375,-3.2387971,-0.0049281,-0.0355074,-1.0739971,-0.9662969,-0.0244628,-0.0154710,-0.2627564
0.9525000,0.9525000,0.9525000,-0.0204112,-0.0007722,-0.4117332,-0.0204112,-3.8128607,-3.2081118,-0.0048473,-0.0349263,-1.0619700,-0.9563484,-0.0240618,-0.0152175,-0.2584497
0.9550000,0.9550000,0.9550000,-0.0200776,-0.0007666,-0.4083995,-0.0200776,-3.7744510,-3.1777936,-0.0047680,-0.0343563,-1.0501096,-0.9465280,-0.0236686,-0.0149688,-0.2542256
0.9575000,0.9575000,0.9575000,-0.0197504,-0.0007610,-0.4051021,-0.0197504,-3.7365019,-3.1478371,-0.0046903,-0.0337971,-1.0384134,-0.9368337,-0.0232829,-0.0147249,-0.2500822
0.9600000,0.9600000,0.9600000,-0.0194294,-0.0007555,-0.4018403,-0.0194294,-3.6990071,-3.1182369,-0.0046140,-0.0332486,-1.0268786,-0.9272635,-0.0229045,-0.0144856,-0.2460177
0.9625000,0.9625000,0.9625000,-0.0191146,-0.0007500,-0.3986137,-0.0191146,-3.6619604,-3.0889877,-0.0045392,-0.0327105,-1.0155026,-0.9178155,-0.0225333,-0.0142508,-0.2420306
0.9650000,0.9650000,0.9650000,-0.0188057,-0.0007446,-0.3954218,-0.0188057,-3.6253559,-3.0600843,-0.0044658,-0.0321825,-1.0042828,-0.9084878,-0.0221691,-0.0140206,-0.2381189
0.9675000,0.9675000,0.9675000,-0.0185026,-0.0007392,-0.3922642,-0.0185026,-3.5891874,-3.0315215,-0.0043938,-0.0316645,-0.9932167,-0.8992785,-0.0218119,-0.0137946,-0.2342812
0.9700000,0.9700000,0.9700000,-0.0182052,-0.0007339,-0.3891404,-0.0182052,-3.5534491,-3.0032943,-0.0043231,-0.0311562,-0.9823019,-0.8901858,-0.0214613,-0.0135729,-0.2305159
0.9725000,0.9725000,0.9725000,-0.0179135,-0.0007286,-0.3860500,-0.0179135,-3.5181353,-2.9753979,-0.0042538,-0.0306575,-0.9715358,-0.8812079,-0.0211174,-0.0133554,-0.2268213
0.9750000,0.9750000,0.9750000,-0.0176272,-0.0007233,-0.3829924,-0.0176272,-3.4832401,-2.9478273,-0.0041858,-0.0301681,-0.9609160,-0.8723431,-0.0207798,-0.0131419,-0.2231959
0.9775000,0.9775000,0.9775000,-0.0173462,-0.0007181,-0.3799673,-0.0173462,-3.4487579,-2.9205779,-0.0041190,-0.0296878,-0.9504403,-0.8635896,-0.0204486,-0.0129325,-0.2196383
0.9800000,0.9800000,0.9800000,-0.0170705,-0.0007130,-0.3769742,-0.0170705,-3.4146832,-2.8936449,-0.0040535,-0.0292164,-0.9401064,-0.8549457,-0.0201236,-0.0127269,-0.2161471
0.9825000,0.9825000,0.9825000,-0.0167999,-0.0007079,-0.3740127,-0.0167999,-3.3810104,-2.8670239,-0.0039892,-0.0287538,-0.9299118,-0.8464097,-0.0198046,-0.0125252,-0.2127207
0.9850000,0.9850000,0.9850000,-0.0165343,-0.0007028,-0.3710824,-0.0165343,-3.3477343,-2.8407102,-0.0039261,-0.0282997,-0.9198545,-0.8379801,-0.0194915,-0.0123272,-0.2093578
0.9875000,0.9875000,0.9875000,-0.0162737,-0.0006978,-0.3681829,-0.0162737,-3.3148496,-2.8146994,-0.0038642,-0.0278540,-0.9099323,-0.8296552,-0.0191842,-0.0121329,-0.2060571
0.9900000,0.9900000,0.9900000,-0.0160178,-0.0006928,-0.3653137,-0.0160178,-3.2823508,-2.7889874,-0.0038034,-0.0274165,-0.9001429,-0.8214335,-0.0188826,-0.0119421,-0.2028173
0.9925000,0.9925000,0.9925000,-0.0157666,-0.0006879,-0.3624744,-0.0157666,-3.2502330,-2.7635696,-0.0037438,-0.0269870,-0.8904843,-0.8133133,-0.0185865,-0.0117549,-0.1996370
0.9950000,0.9950000,0.9950000,-0.0155201,-0.0006830,-0.3596648,-0.0155201,-3.2184911,-2.7384421,-0.0036852,-0.0265654,-0.8809545,-0.8052932,-0.0182959,-0.0115710,-0.1965150
0.9975000,0.9975000,0.9975000,-0.0152780,-0.0006781,-0.3568843,-0.0152780,-3.1871199,-2.7136006,-0.0036277,-0.0261515,-0.8715513,-0.7973717,-0.0180105,-0.0113906,-0.1934501
1.0000000,1.0000000,1.0000000,-0.0150404,-0.0006733,-0.3541326,-0.0150404,-3.1561147,-2.6890412,-0.0035713,-0.0257451,-0.8622729,-0.7895473,-0.0177304,-0.0112134,-0.1904411
1.0025000,1.0025000,1.0025000,-0.0148071,-0.0006686,-0.3514094,-0.0148071,-3.1254705,-2.6647598,-0.0035159,-0.0253460,-0.8531172,-0.7818185,-0.0174553,-0.0110395,-0.1874869
1.0050000,1.0050000,1.0050000,-0.0145780,-0.0006639,-0.3487142,-0.0145780,-3.0951826,-2.6407525,-0.0034615,-0.0249543,-0.8440823,-0.7741841,-0.0171853,-0.0108687,-0.1845862
1.0075000,1.0075000,1.0075000,-0.0143531,-0.0006592,-0.3460467,-0.0143531,-3.0652463,-2.6170156,-0.0034080,-0.0245695,-0.8351663,-0.7666425,-0.0169201,-0.0107010,-0.1817380
1.0100000,1.0100000,1.0100000,-0.0141322,-0.0006545,-0.3434065,-0.0141322,-3.0356568,-2.5935453,-0.0033556,-0.0241917,-0.8263674,-0.7591924,-0.0166597,-0.0105363,-0.1789412
1.0125000,1.0125000,1.0125000,-0.0139153,-0.0006499,-0.3407934,-0.0139153,-3.0064097,-2.5703377,-0.0033041,-0.0238207,-0.8176838,-0.7518325,-0.0164040,-0.0103746,-0.1761947
1.0150000,1.0150000,1.0150000,-0.0137023,-0.0006454,-0.3382068,-0.0137023,-2.9775004,-2.5473894,-0.0032535,-0.0234564,-0.8091136,-0.7445614,-0.0161529,-0.0102158,-0.1734975
1.0175000,1.0175000,1.0175000,-0.0134931,-0.0006408,-0.3356466,-0.0134931,-2.9489244,-2.5246968,-0.0032038,-0.0230985,-0.8006551,-0.7373779,-0.0159063,-0.0100598,-0.1708486
1.0200000,1.0200000,1.0200000,-0.0132876,-0.0006364,-0.3331123,-0.0132876,-2.9206774,-2.5022562,-0.0031550,-0.0227471,-0.7923066,-0.7302807,-0.0156641,-0.0099067,-0.1682470
1.0225000,1.0225000,1.0225000,-0.0130858,-0.0006319,-0.3306037,-0.0130858,-2.8927551,-2.4800643,-0.0031071,-0.0224018,-0.7840664,-0.7232685,-0.0154262,-0.0097562,-0.1656917
1.0250000,1.0250000,1.0250000,-0.0128876,-0.0006275,-0.3281203,-0.0128876,-2.8651532,-2.4581177,-0.0030600,-0.0220627,-0.7759328,-0.7163401,-0.0151925,-0.0096084,-0.1631817
1.0275000,1.0275000,1.0275000,-0.0126929,-0.0006231,-0.3256620,-0.0126929,-2.8378675,-2.4364129,-0.0030138,-0.0217296,-0.7679042,-0.7094943,-0.0149630,-0.0094632,-0.1607163
1.0300000,1.0300000,1.0300000,-0.0125016,-0.0006188,-0.3232283,-0.0125016,-2.8108939,-2.4149468,-0.0029684,-0.0214024,-0.7599790,-0.7027299,-0.0147375,-0.0093206,-0.1582943
1.0325000,1.0325000,1.0325000,-0.0123137,-0.0006145,-0.3208190,-0.0123137,-2.7842283,-2.3937161,-0.0029238,-0.0210809,-0.7521555,-0.6960457,-0.0145160,-0.0091806,-0.1559151
1.0350000,1.0350000,1.0350000,-0.0121291,-0.0006103,-0.3184337,-0.0121291,-2.7578667,-2.3727176,-0.0028799,-0.0207651,-0.7444323,-0.6894407,-0.0142983,-0.0090429,-0.1535777
1.0375000,1.0375000,1.0375000,-0.0119477,-0.0006060,-0.3160722,-0.0119477,-2.7318051,-2.3519483,-0.0028369,-0.0204548,-0.7368078,-0.6829136,-0.0140845,-0.0089077,-0.1512812
1.0400000,1.0400000,1.0400000,-0.0117695,-0.0006019,-0.3137342,-0.0117695,-2.7060396,-2.3314049,-0.0027945,-0.0201499,-0.7292805,-0.6764634,-0.0138745,-0.0087749,-0.1490249
1.0425000,1.0425000,1.0425000,-0.0115945,-0.0005977,-0.3114193,-0.0115945,-2.6805664,-2.3110845,-0.0027530,-0.0198503,-0.7218489,-0.6700890,-0.0136681,-0.0086443,-0.1468079
1.0450000,1.0450000,1.0450000,-0.0114224,-0.0005936,-0.3091272,-0.0114224,-2.6553818,-2.2909842,-0.0027121,-0.0195560,-0.7145116,-0.6637892,-0.0134653,-0.0085161,-0.1446295
1.0475000,1.0475000,1.0475000,-0.0112534,-0.0005895,-0.3068578,-0.0112534,-2.6304818,-2.2711010,-0.0026720,-0.0192667,-0.7072672,-0.6575632,-0.0132660,-0.0083900,-0.1424889
1.0500000,1.0500000,1.0500000,-0.0110872,-0.0005855,-0.3046107,-0.0110872,-2.6058630,-2.2514320,-0.0026325,-0.0189824,-0.7001143,-0.6514097,-0.0130701,-0.0082662,-0.1403853
1.0525000,1.0525000,1.0525000,-0.0109240,-0.0005815,-0.3023856,-0.0109240,-2.5815216,-2.2319744,-0.0025938,-0.0187030,-0.6930515,-0.6453278,-0.0128777,-0.0081444,-0.1383181
